experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_1,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_2,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_12,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_13,player_1,4,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_14,player_2,1,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_3,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_4,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_6,player_2,2,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_7,player_1,3,N/A,N/A,N/A,N/A,N/A,0
Andreoni_Miller_1993,STGR,1,1,N/A,N/A,N/A,Andreoni_Miller_1993_8,player_2,1,N/A,N/A,N/A,N/A,N/A,0
