match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Andreoni_Miller_1993_1,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_1,Andreoni_Miller_1993_2,3,2,0_1
Andreoni_Miller_1993_2,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_11,Andreoni_Miller_1993_12,4,2,7_8
Andreoni_Miller_1993_3,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_13,Andreoni_Miller_1993_14,4,1,8_9
Andreoni_Miller_1993_4,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_3,Andreoni_Miller_1993_4,3,2,2_3
Andreoni_Miller_1993_5,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_5,Andreoni_Miller_1993_6,3,2,3_4
Andreoni_Miller_1993_6,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_7,Andreoni_Miller_1993_8,3,1,4_5
Andreoni_Miller_1993_7,Andreoni_Miller_1993,STGR,1,1,Andreoni_Miller_1993_9,Andreoni_Miller_1993_10,4,2,5_6
Andreoni_Miller_1993_8,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_1,Andreoni_Miller_1993_6,4,2,126_127
Andreoni_Miller_1993_9,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_12,Andreoni_Miller_1993_14,4,2,137_138
Andreoni_Miller_1993_10,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_2,Andreoni_Miller_1993_10,4,2,127_128
Andreoni_Miller_1993_11,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_3,Andreoni_Miller_1993_7,4,2,128_129
Andreoni_Miller_1993_12,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_4,Andreoni_Miller_1993_13,4,2,134_135
Andreoni_Miller_1993_13,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_5,Andreoni_Miller_1993_8,4,2,129_130
Andreoni_Miller_1993_14,Andreoni_Miller_1993,STGR,1,10,Andreoni_Miller_1993_9,Andreoni_Miller_1993_11,3,2,131_132
Andreoni_Miller_1993_15,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_1,Andreoni_Miller_1993_5,4,2,1386_1387
Andreoni_Miller_1993_16,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_13,Andreoni_Miller_1993_14,4,2,1394_1395
Andreoni_Miller_1993_17,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_2,Andreoni_Miller_1993_12,3,2,1387_1388
Andreoni_Miller_1993_18,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_3,Andreoni_Miller_1993_11,4,2,1388_1389
Andreoni_Miller_1993_19,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_4,Andreoni_Miller_1993_8,4,2,1392_1393
Andreoni_Miller_1993_20,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_6,Andreoni_Miller_1993_10,4,2,1396_1397
Andreoni_Miller_1993_21,Andreoni_Miller_1993,STGR,1,100,Andreoni_Miller_1993_7,Andreoni_Miller_1993_9,3,2,1390_1391
