match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Battalio et al._2001_1,Battalio et al._2001,0.6R,1,1,Battalio et al._2001_1,Battalio et al._2001_2,1,4,0_1
Battalio et al._2001_2,Battalio et al._2001,0.6R,1,1,Battalio et al._2001_3,Battalio et al._2001_4,1,4,2_3
Battalio et al._2001_3,Battalio et al._2001,0.6R,1,1,Battalio et al._2001_5,Battalio et al._2001_6,1,4,3_4
Battalio et al._2001_4,Battalio et al._2001,0.6R,1,1,Battalio et al._2001_7,Battalio et al._2001_8,2,3,4_5
Battalio et al._2001_5,Battalio et al._2001,0.6R,1,10,Battalio et al._2001_1,Battalio et al._2001_2,1,4,72_73
Battalio et al._2001_6,Battalio et al._2001,0.6R,1,10,Battalio et al._2001_3,Battalio et al._2001_6,1,4,74_75
Battalio et al._2001_7,Battalio et al._2001,0.6R,1,10,Battalio et al._2001_4,Battalio et al._2001_8,2,4,77_78
Battalio et al._2001_8,Battalio et al._2001,0.6R,1,10,Battalio et al._2001_5,Battalio et al._2001_7,2,4,75_76
Battalio et al._2001_9,Battalio et al._2001,0.6R,1,11,Battalio et al._2001_1,Battalio et al._2001_8,2,4,80_81
Battalio et al._2001_10,Battalio et al._2001,0.6R,1,11,Battalio et al._2001_2,Battalio et al._2001_6,1,4,81_82
Battalio et al._2001_11,Battalio et al._2001,0.6R,1,11,Battalio et al._2001_3,Battalio et al._2001_7,2,4,82_83
Battalio et al._2001_12,Battalio et al._2001,0.6R,1,11,Battalio et al._2001_4,Battalio et al._2001_5,1,4,83_84
Battalio et al._2001_13,Battalio et al._2001,0.6R,1,12,Battalio et al._2001_1,Battalio et al._2001_7,1,4,88_89
Battalio et al._2001_14,Battalio et al._2001,0.6R,1,12,Battalio et al._2001_2,Battalio et al._2001_5,1,4,89_90
Battalio et al._2001_15,Battalio et al._2001,0.6R,1,12,Battalio et al._2001_3,Battalio et al._2001_8,2,3,90_91
Battalio et al._2001_16,Battalio et al._2001,0.6R,1,12,Battalio et al._2001_4,Battalio et al._2001_6,2,4,93_94
Battalio et al._2001_17,Battalio et al._2001,0.6R,1,13,Battalio et al._2001_1,Battalio et al._2001_8,1,4,96_97
Battalio et al._2001_18,Battalio et al._2001,0.6R,1,13,Battalio et al._2001_2,Battalio et al._2001_3,1,3,97_98
Battalio et al._2001_19,Battalio et al._2001,0.6R,1,13,Battalio et al._2001_4,Battalio et al._2001_6,2,4,101_102
Battalio et al._2001_20,Battalio et al._2001,0.6R,1,13,Battalio et al._2001_5,Battalio et al._2001_7,2,4,99_100
Battalio et al._2001_21,Battalio et al._2001,0.6R,1,14,Battalio et al._2001_1,Battalio et al._2001_2,2,4,104_105
Battalio et al._2001_22,Battalio et al._2001,0.6R,1,14,Battalio et al._2001_3,Battalio et al._2001_8,2,3,106_107
Battalio et al._2001_23,Battalio et al._2001,0.6R,1,14,Battalio et al._2001_4,Battalio et al._2001_7,2,4,108_109
Battalio et al._2001_24,Battalio et al._2001,0.6R,1,14,Battalio et al._2001_5,Battalio et al._2001_6,1,4,107_108
Battalio et al._2001_25,Battalio et al._2001,0.6R,1,15,Battalio et al._2001_1,Battalio et al._2001_2,2,4,112_113
Battalio et al._2001_26,Battalio et al._2001,0.6R,1,15,Battalio et al._2001_3,Battalio et al._2001_4,1,4,114_115
Battalio et al._2001_27,Battalio et al._2001,0.6R,1,15,Battalio et al._2001_5,Battalio et al._2001_7,1,4,115_116
Battalio et al._2001_28,Battalio et al._2001,0.6R,1,15,Battalio et al._2001_6,Battalio et al._2001_8,2,3,118_119
Battalio et al._2001_29,Battalio et al._2001,0.6R,1,16,Battalio et al._2001_1,Battalio et al._2001_4,1,4,120_121
Battalio et al._2001_30,Battalio et al._2001,0.6R,1,16,Battalio et al._2001_2,Battalio et al._2001_8,2,4,121_122
Battalio et al._2001_31,Battalio et al._2001,0.6R,1,16,Battalio et al._2001_3,Battalio et al._2001_7,1,4,122_123
Battalio et al._2001_32,Battalio et al._2001,0.6R,1,16,Battalio et al._2001_5,Battalio et al._2001_6,1,4,123_124
Battalio et al._2001_33,Battalio et al._2001,0.6R,1,17,Battalio et al._2001_1,Battalio et al._2001_6,2,4,128_129
Battalio et al._2001_34,Battalio et al._2001,0.6R,1,17,Battalio et al._2001_2,Battalio et al._2001_4,1,4,129_130
Battalio et al._2001_35,Battalio et al._2001,0.6R,1,17,Battalio et al._2001_3,Battalio et al._2001_7,2,4,130_131
Battalio et al._2001_36,Battalio et al._2001,0.6R,1,17,Battalio et al._2001_5,Battalio et al._2001_8,1,3,131_132
Battalio et al._2001_37,Battalio et al._2001,0.6R,1,18,Battalio et al._2001_1,Battalio et al._2001_4,2,4,136_137
Battalio et al._2001_38,Battalio et al._2001,0.6R,1,18,Battalio et al._2001_2,Battalio et al._2001_3,2,4,137_138
Battalio et al._2001_39,Battalio et al._2001,0.6R,1,18,Battalio et al._2001_5,Battalio et al._2001_7,1,4,139_140
Battalio et al._2001_40,Battalio et al._2001,0.6R,1,18,Battalio et al._2001_6,Battalio et al._2001_8,2,3,142_143
Battalio et al._2001_41,Battalio et al._2001,0.6R,1,19,Battalio et al._2001_1,Battalio et al._2001_2,2,4,144_145
Battalio et al._2001_42,Battalio et al._2001,0.6R,1,19,Battalio et al._2001_3,Battalio et al._2001_7,2,4,146_147
Battalio et al._2001_43,Battalio et al._2001,0.6R,1,19,Battalio et al._2001_4,Battalio et al._2001_8,2,3,149_150
Battalio et al._2001_44,Battalio et al._2001,0.6R,1,19,Battalio et al._2001_5,Battalio et al._2001_6,1,4,147_148
Battalio et al._2001_45,Battalio et al._2001,0.6R,1,2,Battalio et al._2001_1,Battalio et al._2001_4,1,3,8_9
Battalio et al._2001_46,Battalio et al._2001,0.6R,1,2,Battalio et al._2001_2,Battalio et al._2001_5,1,3,9_10
Battalio et al._2001_47,Battalio et al._2001,0.6R,1,2,Battalio et al._2001_3,Battalio et al._2001_6,1,4,10_11
Battalio et al._2001_48,Battalio et al._2001,0.6R,1,2,Battalio et al._2001_7,Battalio et al._2001_8,2,4,12_13
Battalio et al._2001_49,Battalio et al._2001,0.6R,1,20,Battalio et al._2001_1,Battalio et al._2001_5,2,3,152_153
Battalio et al._2001_50,Battalio et al._2001,0.6R,1,20,Battalio et al._2001_2,Battalio et al._2001_8,2,4,153_154
Battalio et al._2001_51,Battalio et al._2001,0.6R,1,20,Battalio et al._2001_3,Battalio et al._2001_6,2,4,154_155
Battalio et al._2001_52,Battalio et al._2001,0.6R,1,20,Battalio et al._2001_4,Battalio et al._2001_7,2,4,156_157
Battalio et al._2001_53,Battalio et al._2001,0.6R,1,21,Battalio et al._2001_1,Battalio et al._2001_2,1,4,160_161
Battalio et al._2001_54,Battalio et al._2001,0.6R,1,21,Battalio et al._2001_3,Battalio et al._2001_7,1,4,162_163
Battalio et al._2001_55,Battalio et al._2001,0.6R,1,21,Battalio et al._2001_4,Battalio et al._2001_6,2,4,165_166
