experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_1,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_2,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_10,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_21,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_100,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_115,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_102,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_117,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_104,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_119,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_106,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_120,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_108,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_121,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_110,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_122,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_112,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_123,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_114,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_124,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_116,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_125,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_118,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_126,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_12,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_23,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_127,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_128,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_129,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_135,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_130,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_137,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_131,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_139,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_132,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_141,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Bo_2005,pd1,1,1,N/A,N/A,N/A,Bo_2005_133,player_1,1,N/A,N/A,N/A,N/A,N/A,0
