match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Charness et al._2007_1,Charness et al._2007,1,10,1,Charness et al._2007_49,Charness et al._2007_50,3,1,1200_1201
Charness et al._2007_2,Charness et al._2007,1,10,1,Charness et al._2007_51,Charness et al._2007_52,1,3,1250_1251
Charness et al._2007_3,Charness et al._2007,1,10,1,Charness et al._2007_53,Charness et al._2007_54,3,2,1300_1301
Charness et al._2007_4,Charness et al._2007,1,10,1,Charness et al._2007_55,Charness et al._2007_56,4,2,1350_1351
Charness et al._2007_5,Charness et al._2007,1,10,1,Charness et al._2007_57,Charness et al._2007_58,3,2,1400_1401
Charness et al._2007_6,Charness et al._2007,1,10,1,Charness et al._2007_59,Charness et al._2007_60,4,1,1425_1426
Charness et al._2007_7,Charness et al._2007,1,10,1,Charness et al._2007_61,Charness et al._2007_62,1,3,1500_1501
Charness et al._2007_8,Charness et al._2007,1,10,1,Charness et al._2007_63,Charness et al._2007_64,4,1,1525_1526
Charness et al._2007_9,Charness et al._2007,1,10,10,Charness et al._2007_49,Charness et al._2007_52,3,1,1209_1210
Charness et al._2007_10,Charness et al._2007,1,10,10,Charness et al._2007_50,Charness et al._2007_51,4,2,1234_1235
Charness et al._2007_11,Charness et al._2007,1,10,10,Charness et al._2007_53,Charness et al._2007_56,1,3,1309_1310
Charness et al._2007_12,Charness et al._2007,1,10,10,Charness et al._2007_54,Charness et al._2007_55,4,2,1334_1335
Charness et al._2007_13,Charness et al._2007,1,10,10,Charness et al._2007_57,Charness et al._2007_59,3,2,1409_1410
Charness et al._2007_14,Charness et al._2007,1,10,10,Charness et al._2007_58,Charness et al._2007_60,2,4,1459_1460
Charness et al._2007_15,Charness et al._2007,1,10,10,Charness et al._2007_61,Charness et al._2007_64,4,1,1509_1510
Charness et al._2007_16,Charness et al._2007,1,10,10,Charness et al._2007_62,Charness et al._2007_63,4,1,1534_1535
Charness et al._2007_17,Charness et al._2007,1,10,11,Charness et al._2007_49,Charness et al._2007_51,3,1,1210_1211
