match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Clark et al._2001_1,Clark et al._2001,1,1,1,Clark et al._2001_1,Clark et al._2001_8,2,3,6_7
Clark et al._2001_2,Clark et al._2001,1,1,1,Clark et al._2001_10,Clark et al._2001_18,1,3,71_72
Clark et al._2001_3,Clark et al._2001,1,1,1,Clark et al._2001_11,Clark et al._2001_14,2,3,32_33
Clark et al._2001_4,Clark et al._2001,1,1,1,Clark et al._2001_2,Clark et al._2001_12,2,3,11_12
Clark et al._2001_5,Clark et al._2001,1,1,1,Clark et al._2001_3,Clark et al._2001_19,1,3,85_86
Clark et al._2001_6,Clark et al._2001,1,1,1,Clark et al._2001_4,Clark et al._2001_20,1,4,91_92
Clark et al._2001_7,Clark et al._2001,1,1,1,Clark et al._2001_5,Clark et al._2001_13,2,3,22_23
Clark et al._2001_8,Clark et al._2001,1,1,1,Clark et al._2001_6,Clark et al._2001_15,1,3,47_48
Clark et al._2001_9,Clark et al._2001,1,1,1,Clark et al._2001_7,Clark et al._2001_16,1,3,56_57
Clark et al._2001_10,Clark et al._2001,1,1,1,Clark et al._2001_9,Clark et al._2001_17,2,4,69_70
Clark et al._2001_11,Clark et al._2001,1,1,10,Clark et al._2001_1,Clark et al._2001_4,2,3,2_3
Clark et al._2001_12,Clark et al._2001,1,1,10,Clark et al._2001_10,Clark et al._2001_19,1,3,81_82
Clark et al._2001_13,Clark et al._2001,1,1,10,Clark et al._2001_11,Clark et al._2001_15,1,3,48_49
Clark et al._2001_14,Clark et al._2001,1,1,10,Clark et al._2001_2,Clark et al._2001_13,1,3,26_27
Clark et al._2001_15,Clark et al._2001,1,1,10,Clark et al._2001_3,Clark et al._2001_20,2,3,90_91
Clark et al._2001_16,Clark et al._2001,1,1,10,Clark et al._2001_5,Clark et al._2001_14,1,3,39_40
Clark et al._2001_17,Clark et al._2001,1,1,10,Clark et al._2001_6,Clark et al._2001_16,1,3,52_53
Clark et al._2001_18,Clark et al._2001,1,1,10,Clark et al._2001_7,Clark et al._2001_17,2,3,61_62
Clark et al._2001_19,Clark et al._2001,1,1,10,Clark et al._2001_8,Clark et al._2001_12,1,3,19_20
Clark et al._2001_20,Clark et al._2001,1,1,10,Clark et al._2001_9,Clark et al._2001_18,1,4,76_77
Clark et al._2001_21,Clark et al._2001,1,1,2,Clark et al._2001_1,Clark et al._2001_2,2,3,0_1
Clark et al._2001_22,Clark et al._2001,1,1,2,Clark et al._2001_10,Clark et al._2001_17,2,3,63_64
Clark et al._2001_23,Clark et al._2001,1,1,2,Clark et al._2001_11,Clark et al._2001_13,2,4,29_30
Clark et al._2001_24,Clark et al._2001,1,1,2,Clark et al._2001_3,Clark et al._2001_18,1,3,77_78
Clark et al._2001_25,Clark et al._2001,1,1,2,Clark et al._2001_4,Clark et al._2001_19,1,4,80_81
Clark et al._2001_26,Clark et al._2001,1,1,2,Clark et al._2001_5,Clark et al._2001_12,2,3,10_11
Clark et al._2001_27,Clark et al._2001,1,1,2,Clark et al._2001_6,Clark et al._2001_14,2,3,30_31
Clark et al._2001_28,Clark et al._2001,1,1,2,Clark et al._2001_7,Clark et al._2001_15,1,3,49_50
Clark et al._2001_29,Clark et al._2001,1,1,2,Clark et al._2001_8,Clark et al._2001_20,1,3,93_94
Clark et al._2001_30,Clark et al._2001,1,1,2,Clark et al._2001_9,Clark et al._2001_16,1,4,53_54
Clark et al._2001_31,Clark et al._2001,1,1,3,Clark et al._2001_1,Clark et al._2001_5,2,3,3_4
Clark et al._2001_32,Clark et al._2001,1,1,3,Clark et al._2001_10,Clark et al._2001_16,1,3,58_59
Clark et al._2001_33,Clark et al._2001,1,1,3,Clark et al._2001_11,Clark et al._2001_12,1,3,16_17
Clark et al._2001_34,Clark et al._2001,1,1,3,Clark et al._2001_2,Clark et al._2001_20,1,3,96_97
Clark et al._2001_35,Clark et al._2001,1,1,3,Clark et al._2001_3,Clark et al._2001_17,2,3,62_63
Clark et al._2001_36,Clark et al._2001,1,1,3,Clark et al._2001_4,Clark et al._2001_18,1,3,70_71
Clark et al._2001_37,Clark et al._2001,1,1,3,Clark et al._2001_6,Clark et al._2001_13,2,3,21_22
Clark et al._2001_38,Clark et al._2001,1,1,3,Clark et al._2001_7,Clark et al._2001_14,2,3,33_34
Clark et al._2001_39,Clark et al._2001,1,1,3,Clark et al._2001_8,Clark et al._2001_19,1,3,87_88
Clark et al._2001_40,Clark et al._2001,1,1,3,Clark et al._2001_9,Clark et al._2001_15,1,3,45_46
Clark et al._2001_41,Clark et al._2001,1,1,4,Clark et al._2001_1,Clark et al._2001_11,2,4,9_10
Clark et al._2001_42,Clark et al._2001,1,1,4,Clark et al._2001_10,Clark et al._2001_15,1,3,41_42
Clark et al._2001_43,Clark et al._2001,1,1,4,Clark et al._2001_2,Clark et al._2001_19,1,3,86_87
Clark et al._2001_44,Clark et al._2001,1,1,4,Clark et al._2001_3,Clark et al._2001_16,1,3,57_58
Clark et al._2001_45,Clark et al._2001,1,1,4,Clark et al._2001_4,Clark et al._2001_17,2,3,67_68
Clark et al._2001_46,Clark et al._2001,1,1,4,Clark et al._2001_5,Clark et al._2001_20,1,3,92_93
Clark et al._2001_47,Clark et al._2001,1,1,4,Clark et al._2001_6,Clark et al._2001_12,1,3,17_18
Clark et al._2001_48,Clark et al._2001,1,1,4,Clark et al._2001_7,Clark et al._2001_13,2,3,20_21
Clark et al._2001_49,Clark et al._2001,1,1,4,Clark et al._2001_8,Clark et al._2001_18,1,3,78_79
Clark et al._2001_50,Clark et al._2001,1,1,4,Clark et al._2001_9,Clark et al._2001_14,2,3,31_32
Clark et al._2001_51,Clark et al._2001,1,1,5,Clark et al._2001_1,Clark et al._2001_6,2,3,4_5
Clark et al._2001_52,Clark et al._2001,1,1,5,Clark et al._2001_10,Clark et al._2001_14,1,3,37_38
Clark et al._2001_53,Clark et al._2001,1,1,5,Clark et al._2001_11,Clark et al._2001_20,1,4,95_96
Clark et al._2001_54,Clark et al._2001,1,1,5,Clark et al._2001_2,Clark et al._2001_18,1,3,75_76
Clark et al._2001_55,Clark et al._2001,1,1,5,Clark et al._2001_3,Clark et al._2001_15,1,3,44_45
Clark et al._2001_56,Clark et al._2001,1,1,5,Clark et al._2001_4,Clark et al._2001_16,1,3,51_52
Clark et al._2001_57,Clark et al._2001,1,1,5,Clark et al._2001_5,Clark et al._2001_19,1,3,82_83
Clark et al._2001_58,Clark et al._2001,1,1,5,Clark et al._2001_7,Clark et al._2001_12,1,3,14_15
Clark et al._2001_59,Clark et al._2001,1,1,5,Clark et al._2001_8,Clark et al._2001_17,2,3,68_69
Clark et al._2001_60,Clark et al._2001,1,1,5,Clark et al._2001_9,Clark et al._2001_13,1,3,24_25
Clark et al._2001_61,Clark et al._2001,1,1,6,Clark et al._2001_1,Clark et al._2001_7,2,3,5_6
Clark et al._2001_62,Clark et al._2001,1,1,6,Clark et al._2001_10,Clark et al._2001_13,1,3,23_24
Clark et al._2001_63,Clark et al._2001,1,1,6,Clark et al._2001_11,Clark et al._2001_19,1,3,89_90
Clark et al._2001_64,Clark et al._2001,1,1,6,Clark et al._2001_2,Clark et al._2001_17,2,3,64_65
Clark et al._2001_65,Clark et al._2001,1,1,6,Clark et al._2001_3,Clark et al._2001_14,1,3,36_37
Clark et al._2001_66,Clark et al._2001,1,1,6,Clark et al._2001_4,Clark et al._2001_15,1,3,40_41
Clark et al._2001_67,Clark et al._2001,1,1,6,Clark et al._2001_5,Clark et al._2001_18,1,3,72_73
Clark et al._2001_68,Clark et al._2001,1,1,6,Clark et al._2001_6,Clark et al._2001_20,1,3,98_99
Clark et al._2001_69,Clark et al._2001,1,1,6,Clark et al._2001_8,Clark et al._2001_16,1,3,50_51
Clark et al._2001_70,Clark et al._2001,1,1,6,Clark et al._2001_9,Clark et al._2001_12,1,3,18_19
Clark et al._2001_71,Clark et al._2001,1,1,7,Clark et al._2001_1,Clark et al._2001_9,2,3,7_8
Clark et al._2001_72,Clark et al._2001,1,1,7,Clark et al._2001_10,Clark et al._2001_12,1,3,12_13
Clark et al._2001_73,Clark et al._2001,1,1,7,Clark et al._2001_11,Clark et al._2001_18,1,4,73_74
Clark et al._2001_74,Clark et al._2001,1,1,7,Clark et al._2001_2,Clark et al._2001_16,1,3,59_60
Clark et al._2001_75,Clark et al._2001,1,1,7,Clark et al._2001_3,Clark et al._2001_13,1,3,27_28
Clark et al._2001_76,Clark et al._2001,1,1,7,Clark et al._2001_4,Clark et al._2001_14,1,3,35_36
Clark et al._2001_77,Clark et al._2001,1,1,7,Clark et al._2001_5,Clark et al._2001_17,2,3,65_66
Clark et al._2001_78,Clark et al._2001,1,1,7,Clark et al._2001_6,Clark et al._2001_19,1,3,83_84
Clark et al._2001_79,Clark et al._2001,1,1,7,Clark et al._2001_7,Clark et al._2001_20,1,3,97_98
Clark et al._2001_80,Clark et al._2001,1,1,7,Clark et al._2001_8,Clark et al._2001_15,1,3,42_43
Clark et al._2001_81,Clark et al._2001,1,1,8,Clark et al._2001_1,Clark et al._2001_10,2,3,8_9
Clark et al._2001_82,Clark et al._2001,1,1,8,Clark et al._2001_11,Clark et al._2001_17,2,3,60_61
Clark et al._2001_83,Clark et al._2001,1,1,8,Clark et al._2001_2,Clark et al._2001_15,1,3,46_47
Clark et al._2001_84,Clark et al._2001,1,1,8,Clark et al._2001_3,Clark et al._2001_12,1,3,15_16
Clark et al._2001_85,Clark et al._2001,1,1,8,Clark et al._2001_4,Clark et al._2001_13,1,3,25_26
Clark et al._2001_86,Clark et al._2001,1,1,8,Clark et al._2001_5,Clark et al._2001_16,1,3,55_56
Clark et al._2001_87,Clark et al._2001,1,1,8,Clark et al._2001_6,Clark et al._2001_18,1,3,74_75
Clark et al._2001_88,Clark et al._2001,1,1,8,Clark et al._2001_7,Clark et al._2001_19,1,3,84_85
Clark et al._2001_89,Clark et al._2001,1,1,8,Clark et al._2001_8,Clark et al._2001_14,1,3,38_39
Clark et al._2001_90,Clark et al._2001,1,1,8,Clark et al._2001_9,Clark et al._2001_20,1,3,99_100
Clark et al._2001_91,Clark et al._2001,1,1,9,Clark et al._2001_1,Clark et al._2001_3,2,3,1_2
Clark et al._2001_92,Clark et al._2001,1,1,9,Clark et al._2001_10,Clark et al._2001_20,1,3,94_95
Clark et al._2001_93,Clark et al._2001,1,1,9,Clark et al._2001_11,Clark et al._2001_16,1,3,54_55
Clark et al._2001_94,Clark et al._2001,1,1,9,Clark et al._2001_2,Clark et al._2001_14,1,3,34_35
Clark et al._2001_95,Clark et al._2001,1,1,9,Clark et al._2001_4,Clark et al._2001_12,1,3,13_14
Clark et al._2001_96,Clark et al._2001,1,1,9,Clark et al._2001_5,Clark et al._2001_15,1,3,43_44
Clark et al._2001_97,Clark et al._2001,1,1,9,Clark et al._2001_6,Clark et al._2001_17,2,3,66_67
Clark et al._2001_98,Clark et al._2001,1,1,9,Clark et al._2001_7,Clark et al._2001_18,1,3,79_80
Clark et al._2001_99,Clark et al._2001,1,1,9,Clark et al._2001_8,Clark et al._2001_13,1,3,28_29
Clark et al._2001_100,Clark et al._2001,1,1,9,Clark et al._2001_9,Clark et al._2001_19,1,3,88_89
Clark et al._2001_101,Clark et al._2001,1,13,1,Clark et al._2001_1,Clark et al._2001_8,1,3,200_201
Clark et al._2001_102,Clark et al._2001,1,13,1,Clark et al._2001_10,Clark et al._2001_18,2,3,270_271
Clark et al._2001_103,Clark et al._2001,1,13,1,Clark et al._2001_11,Clark et al._2001_14,1,3,230_231
Clark et al._2001_104,Clark et al._2001,1,13,1,Clark et al._2001_2,Clark et al._2001_12,2,3,210_211
Clark et al._2001_105,Clark et al._2001,1,13,1,Clark et al._2001_3,Clark et al._2001_19,2,3,280_281
Clark et al._2001_106,Clark et al._2001,1,13,1,Clark et al._2001_4,Clark et al._2001_20,2,3,290_291
Clark et al._2001_107,Clark et al._2001,1,13,1,Clark et al._2001_5,Clark et al._2001_13,1,3,220_221
Clark et al._2001_108,Clark et al._2001,1,13,1,Clark et al._2001_6,Clark et al._2001_15,1,3,240_241
Clark et al._2001_109,Clark et al._2001,1,13,1,Clark et al._2001_7,Clark et al._2001_16,1,4,250_251
Clark et al._2001_110,Clark et al._2001,1,13,1,Clark et al._2001_9,Clark et al._2001_17,1,3,260_261
Clark et al._2001_111,Clark et al._2001,1,13,10,Clark et al._2001_1,Clark et al._2001_4,1,3,209_210
Clark et al._2001_112,Clark et al._2001,1,13,10,Clark et al._2001_10,Clark et al._2001_19,1,3,289_290
Clark et al._2001_113,Clark et al._2001,1,13,10,Clark et al._2001_11,Clark et al._2001_15,1,3,249_250
Clark et al._2001_114,Clark et al._2001,1,13,10,Clark et al._2001_2,Clark et al._2001_13,1,3,229_230
Clark et al._2001_115,Clark et al._2001,1,13,10,Clark et al._2001_3,Clark et al._2001_20,1,3,299_300
Clark et al._2001_116,Clark et al._2001,1,13,10,Clark et al._2001_5,Clark et al._2001_14,1,3,239_240
Clark et al._2001_117,Clark et al._2001,1,13,10,Clark et al._2001_6,Clark et al._2001_16,1,4,259_260
Clark et al._2001_118,Clark et al._2001,1,13,10,Clark et al._2001_7,Clark et al._2001_17,2,3,269_270
Clark et al._2001_119,Clark et al._2001,1,13,10,Clark et al._2001_8,Clark et al._2001_12,1,3,219_220
Clark et al._2001_120,Clark et al._2001,1,13,10,Clark et al._2001_9,Clark et al._2001_18,1,3,279_280
Clark et al._2001_121,Clark et al._2001,1,13,2,Clark et al._2001_1,Clark et al._2001_2,1,3,201_202
Clark et al._2001_122,Clark et al._2001,1,13,2,Clark et al._2001_10,Clark et al._2001_17,1,3,261_262
Clark et al._2001_123,Clark et al._2001,1,13,2,Clark et al._2001_11,Clark et al._2001_13,1,3,221_222
Clark et al._2001_124,Clark et al._2001,1,13,2,Clark et al._2001_3,Clark et al._2001_18,2,3,271_272
Clark et al._2001_125,Clark et al._2001,1,13,2,Clark et al._2001_4,Clark et al._2001_19,1,3,281_282
Clark et al._2001_126,Clark et al._2001,1,13,2,Clark et al._2001_5,Clark et al._2001_12,2,3,211_212
Clark et al._2001_127,Clark et al._2001,1,13,2,Clark et al._2001_6,Clark et al._2001_14,1,4,231_232
Clark et al._2001_128,Clark et al._2001,1,13,2,Clark et al._2001_7,Clark et al._2001_15,1,3,241_242
Clark et al._2001_129,Clark et al._2001,1,13,2,Clark et al._2001_8,Clark et al._2001_20,2,4,291_292
Clark et al._2001_130,Clark et al._2001,1,13,2,Clark et al._2001_9,Clark et al._2001_16,1,4,251_252
Clark et al._2001_131,Clark et al._2001,1,13,3,Clark et al._2001_1,Clark et al._2001_5,1,3,202_203
Clark et al._2001_132,Clark et al._2001,1,13,3,Clark et al._2001_10,Clark et al._2001_16,1,4,252_253
Clark et al._2001_133,Clark et al._2001,1,13,3,Clark et al._2001_11,Clark et al._2001_12,1,3,212_213
Clark et al._2001_134,Clark et al._2001,1,13,3,Clark et al._2001_2,Clark et al._2001_20,2,3,292_293
Clark et al._2001_135,Clark et al._2001,1,13,3,Clark et al._2001_3,Clark et al._2001_17,1,3,262_263
Clark et al._2001_136,Clark et al._2001,1,13,3,Clark et al._2001_4,Clark et al._2001_18,1,3,272_273
Clark et al._2001_137,Clark et al._2001,1,13,3,Clark et al._2001_6,Clark et al._2001_13,1,3,222_223
Clark et al._2001_138,Clark et al._2001,1,13,3,Clark et al._2001_7,Clark et al._2001_14,1,3,232_233
Clark et al._2001_139,Clark et al._2001,1,13,3,Clark et al._2001_8,Clark et al._2001_19,1,4,282_283
Clark et al._2001_140,Clark et al._2001,1,13,3,Clark et al._2001_9,Clark et al._2001_15,1,3,242_243
Clark et al._2001_141,Clark et al._2001,1,13,4,Clark et al._2001_1,Clark et al._2001_11,1,3,203_204
Clark et al._2001_142,Clark et al._2001,1,13,4,Clark et al._2001_10,Clark et al._2001_15,1,3,243_244
Clark et al._2001_143,Clark et al._2001,1,13,4,Clark et al._2001_2,Clark et al._2001_19,2,3,283_284
Clark et al._2001_144,Clark et al._2001,1,13,4,Clark et al._2001_3,Clark et al._2001_16,1,3,253_254
Clark et al._2001_145,Clark et al._2001,1,13,4,Clark et al._2001_4,Clark et al._2001_17,2,3,263_264
Clark et al._2001_146,Clark et al._2001,1,13,4,Clark et al._2001_5,Clark et al._2001_20,2,3,293_294
Clark et al._2001_147,Clark et al._2001,1,13,4,Clark et al._2001_6,Clark et al._2001_12,2,3,213_214
Clark et al._2001_148,Clark et al._2001,1,13,4,Clark et al._2001_7,Clark et al._2001_13,1,3,223_224
Clark et al._2001_149,Clark et al._2001,1,13,4,Clark et al._2001_8,Clark et al._2001_18,1,3,273_274
Clark et al._2001_150,Clark et al._2001,1,13,4,Clark et al._2001_9,Clark et al._2001_14,1,3,233_234
Clark et al._2001_151,Clark et al._2001,1,13,5,Clark et al._2001_1,Clark et al._2001_6,1,4,204_205
Clark et al._2001_152,Clark et al._2001,1,13,5,Clark et al._2001_10,Clark et al._2001_14,1,3,234_235
Clark et al._2001_153,Clark et al._2001,1,13,5,Clark et al._2001_11,Clark et al._2001_20,2,3,294_295
Clark et al._2001_154,Clark et al._2001,1,13,5,Clark et al._2001_2,Clark et al._2001_18,1,4,274_275
Clark et al._2001_155,Clark et al._2001,1,13,5,Clark et al._2001_3,Clark et al._2001_15,1,3,244_245
Clark et al._2001_156,Clark et al._2001,1,13,5,Clark et al._2001_4,Clark et al._2001_16,1,4,254_255
Clark et al._2001_157,Clark et al._2001,1,13,5,Clark et al._2001_5,Clark et al._2001_19,1,3,284_285
Clark et al._2001_158,Clark et al._2001,1,13,5,Clark et al._2001_7,Clark et al._2001_12,1,3,214_215
Clark et al._2001_159,Clark et al._2001,1,13,5,Clark et al._2001_8,Clark et al._2001_17,1,4,264_265
Clark et al._2001_160,Clark et al._2001,1,13,5,Clark et al._2001_9,Clark et al._2001_13,1,3,224_225
Clark et al._2001_161,Clark et al._2001,1,13,6,Clark et al._2001_1,Clark et al._2001_7,1,3,205_206
Clark et al._2001_162,Clark et al._2001,1,13,6,Clark et al._2001_10,Clark et al._2001_13,1,3,225_226
Clark et al._2001_163,Clark et al._2001,1,13,6,Clark et al._2001_11,Clark et al._2001_19,1,3,285_286
Clark et al._2001_164,Clark et al._2001,1,13,6,Clark et al._2001_2,Clark et al._2001_17,1,3,265_266
Clark et al._2001_165,Clark et al._2001,1,13,6,Clark et al._2001_3,Clark et al._2001_14,1,3,235_236
Clark et al._2001_166,Clark et al._2001,1,13,6,Clark et al._2001_4,Clark et al._2001_15,1,3,245_246
Clark et al._2001_167,Clark et al._2001,1,13,6,Clark et al._2001_5,Clark et al._2001_18,1,3,275_276
Clark et al._2001_168,Clark et al._2001,1,13,6,Clark et al._2001_6,Clark et al._2001_20,1,3,295_296
Clark et al._2001_169,Clark et al._2001,1,13,6,Clark et al._2001_8,Clark et al._2001_16,1,3,255_256
Clark et al._2001_170,Clark et al._2001,1,13,6,Clark et al._2001_9,Clark et al._2001_12,2,3,215_216
Clark et al._2001_171,Clark et al._2001,1,13,7,Clark et al._2001_1,Clark et al._2001_9,1,3,206_207
Clark et al._2001_172,Clark et al._2001,1,13,7,Clark et al._2001_10,Clark et al._2001_12,1,3,216_217
Clark et al._2001_173,Clark et al._2001,1,13,7,Clark et al._2001_11,Clark et al._2001_18,1,3,276_277
Clark et al._2001_174,Clark et al._2001,1,13,7,Clark et al._2001_2,Clark et al._2001_16,1,3,256_257
