match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Clark_Sefton_2001_1,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_1,Clark_Sefton_2001_2,2,3
Clark_Sefton_2001_2,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_10,Clark_Sefton_2001_19,1,3
Clark_Sefton_2001_3,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_11,Clark_Sefton_2001_20,1,4
Clark_Sefton_2001_4,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_3,Clark_Sefton_2001_12,2,3
Clark_Sefton_2001_5,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_4,Clark_Sefton_2001_13,2,3
Clark_Sefton_2001_6,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_5,Clark_Sefton_2001_14,2,3
Clark_Sefton_2001_7,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_6,Clark_Sefton_2001_15,1,3
Clark_Sefton_2001_8,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_7,Clark_Sefton_2001_16,1,3
Clark_Sefton_2001_9,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_8,Clark_Sefton_2001_17,2,4
Clark_Sefton_2001_10,Clark_Sefton_2001,CG,1,1,Clark_Sefton_2001_9,Clark_Sefton_2001_18,1,3
Clark_Sefton_2001_11,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_1,Clark_Sefton_2001_11,2,3
Clark_Sefton_2001_12,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_10,Clark_Sefton_2001_20,2,3
Clark_Sefton_2001_13,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_2,Clark_Sefton_2001_12,1,3
Clark_Sefton_2001_14,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_3,Clark_Sefton_2001_13,1,3
Clark_Sefton_2001_15,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_4,Clark_Sefton_2001_14,1,3
Clark_Sefton_2001_16,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_5,Clark_Sefton_2001_15,1,3
Clark_Sefton_2001_17,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_6,Clark_Sefton_2001_16,1,3
Clark_Sefton_2001_18,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_7,Clark_Sefton_2001_17,2,3
Clark_Sefton_2001_19,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_8,Clark_Sefton_2001_18,1,4
Clark_Sefton_2001_20,Clark_Sefton_2001,CG,1,10,Clark_Sefton_2001_9,Clark_Sefton_2001_19,1,3
Clark_Sefton_2001_21,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_1,Clark_Sefton_2001_3,2,3
Clark_Sefton_2001_22,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_10,Clark_Sefton_2001_18,1,3
Clark_Sefton_2001_23,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_11,Clark_Sefton_2001_19,1,4
Clark_Sefton_2001_24,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_2,Clark_Sefton_2001_20,1,3
Clark_Sefton_2001_25,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_4,Clark_Sefton_2001_12,2,3
Clark_Sefton_2001_26,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_5,Clark_Sefton_2001_13,2,4
Clark_Sefton_2001_27,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_6,Clark_Sefton_2001_14,2,3
Clark_Sefton_2001_28,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_7,Clark_Sefton_2001_15,1,3
Clark_Sefton_2001_29,Clark_Sefton_2001,CG,1,2,Clark_Sefton_2001_8,Clark_Sefton_2001_16,1,4
