match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Cooper et al._1992_1,Cooper et al._1992,G3allnew,1,1,Cooper et al._1992_2,Cooper et al._1992_11,1.5,4.0,45_46
Cooper et al._1992_2,Cooper et al._1992,G3allnew,1,1,Cooper et al._1992_3,Cooper et al._1992_10,1.5,3.5,35_36
Cooper et al._1992_3,Cooper et al._1992,G3allnew,1,1,Cooper et al._1992_4,Cooper et al._1992_9,1.5,3.5,30_31
Cooper et al._1992_4,Cooper et al._1992,G3allnew,1,1,Cooper et al._1992_5,Cooper et al._1992_8,1.5,3.5,40_41
Cooper et al._1992_5,Cooper et al._1992,G3allnew,1,1,Cooper et al._1992_6,Cooper et al._1992_7,1.5,3.5,50_51
Cooper et al._1992_6,Cooper et al._1992,G3allnew,1,10,Cooper et al._1992_1,Cooper et al._1992_11,1.5,3.5,49_50
Cooper et al._1992_7,Cooper et al._1992,G3allnew,1,10,Cooper et al._1992_2,Cooper et al._1992_10,1.5,3.5,39_40
Cooper et al._1992_8,Cooper et al._1992,G3allnew,1,10,Cooper et al._1992_3,Cooper et al._1992_9,1.5,3.5,29_30
Cooper et al._1992_9,Cooper et al._1992,G3allnew,1,10,Cooper et al._1992_4,Cooper et al._1992_8,1.5,3.5,34_35
Cooper et al._1992_10,Cooper et al._1992,G3allnew,1,10,Cooper et al._1992_5,Cooper et al._1992_7,1.5,3.5,44_45
Cooper et al._1992_11,Cooper et al._1992,G3allnew,1,11,Cooper et al._1992_1,Cooper et al._1992_6,1.5,3.5,4_5
Cooper et al._1992_12,Cooper et al._1992,G3allnew,1,11,Cooper et al._1992_2,Cooper et al._1992_5,1.5,3.5,14_15
Cooper et al._1992_13,Cooper et al._1992,G3allnew,1,11,Cooper et al._1992_3,Cooper et al._1992_4,1.5,3.5,24_25
Cooper et al._1992_14,Cooper et al._1992,G3allnew,1,11,Cooper et al._1992_7,Cooper et al._1992_11,1.5,3.5,9_10
Cooper et al._1992_15,Cooper et al._1992,G3allnew,1,11,Cooper et al._1992_8,Cooper et al._1992_10,1.5,3.5,19_20
Cooper et al._1992_16,Cooper et al._1992,G3allnew,1,2,Cooper et al._1992_1,Cooper et al._1992_7,1.5,3.5,5_6
Cooper et al._1992_17,Cooper et al._1992,G3allnew,1,2,Cooper et al._1992_2,Cooper et al._1992_6,2.0,3.5,10_11
Cooper et al._1992_18,Cooper et al._1992,G3allnew,1,2,Cooper et al._1992_3,Cooper et al._1992_5,1.5,3.5,20_21
Cooper et al._1992_19,Cooper et al._1992,G3allnew,1,2,Cooper et al._1992_8,Cooper et al._1992_11,1.5,3.5,15_16
Cooper et al._1992_20,Cooper et al._1992,G3allnew,1,2,Cooper et al._1992_9,Cooper et al._1992_10,1.5,3.5,25_26
Cooper et al._1992_21,Cooper et al._1992,G3allnew,1,3,Cooper et al._1992_1,Cooper et al._1992_2,1.5,3.5,0_1
Cooper et al._1992_22,Cooper et al._1992,G3allnew,1,3,Cooper et al._1992_3,Cooper et al._1992_11,1.5,3.5,46_47
Cooper et al._1992_23,Cooper et al._1992,G3allnew,1,3,Cooper et al._1992_4,Cooper et al._1992_10,1.5,3.5,36_37
Cooper et al._1992_24,Cooper et al._1992,G3allnew,1,3,Cooper et al._1992_5,Cooper et al._1992_9,1.5,4.0,41_42
Cooper et al._1992_25,Cooper et al._1992,G3allnew,1,3,Cooper et al._1992_6,Cooper et al._1992_8,1.5,3.5,51_52
Cooper et al._1992_26,Cooper et al._1992,G3allnew,1,4,Cooper et al._1992_1,Cooper et al._1992_8,1.5,3.5,16_17
Cooper et al._1992_27,Cooper et al._1992,G3allnew,1,4,Cooper et al._1992_2,Cooper et al._1992_7,1.5,3.5,11_12
Cooper et al._1992_28,Cooper et al._1992,G3allnew,1,4,Cooper et al._1992_3,Cooper et al._1992_6,1.5,3.5,21_22
Cooper et al._1992_29,Cooper et al._1992,G3allnew,1,4,Cooper et al._1992_4,Cooper et al._1992_5,1.5,3.5,31_32
Cooper et al._1992_30,Cooper et al._1992,G3allnew,1,4,Cooper et al._1992_9,Cooper et al._1992_11,1.5,3.5,26_27
Cooper et al._1992_31,Cooper et al._1992,G3allnew,1,5,Cooper et al._1992_1,Cooper et al._1992_3,1.5,3.5,1_2
Cooper et al._1992_32,Cooper et al._1992,G3allnew,1,5,Cooper et al._1992_4,Cooper et al._1992_11,1.5,3.0,47_48
Cooper et al._1992_33,Cooper et al._1992,G3allnew,1,5,Cooper et al._1992_5,Cooper et al._1992_10,1.5,3.5,42_43
Cooper et al._1992_34,Cooper et al._1992,G3allnew,1,5,Cooper et al._1992_6,Cooper et al._1992_9,1.5,3.5,52_53
Cooper et al._1992_35,Cooper et al._1992,G3allnew,1,5,Cooper et al._1992_7,Cooper et al._1992_8,1.5,3.5,6_7
Cooper et al._1992_36,Cooper et al._1992,G3allnew,1,6,Cooper et al._1992_1,Cooper et al._1992_9,1.5,3.5,27_28
Cooper et al._1992_37,Cooper et al._1992,G3allnew,1,6,Cooper et al._1992_10,Cooper et al._1992_11,1.5,3.5,37_38
Cooper et al._1992_38,Cooper et al._1992,G3allnew,1,6,Cooper et al._1992_2,Cooper et al._1992_8,1.5,3.5,17_18
Cooper et al._1992_39,Cooper et al._1992,G3allnew,1,6,Cooper et al._1992_3,Cooper et al._1992_7,1.5,3.5,22_23
Cooper et al._1992_40,Cooper et al._1992,G3allnew,1,6,Cooper et al._1992_4,Cooper et al._1992_6,1.5,3.5,32_33
Cooper et al._1992_41,Cooper et al._1992,G3allnew,1,7,Cooper et al._1992_1,Cooper et al._1992_4,1.5,3.5,2_3
Cooper et al._1992_42,Cooper et al._1992,G3allnew,1,7,Cooper et al._1992_2,Cooper et al._1992_3,1.5,3.5,12_13
Cooper et al._1992_43,Cooper et al._1992,G3allnew,1,7,Cooper et al._1992_5,Cooper et al._1992_11,1.5,3.5,48_49
Cooper et al._1992_44,Cooper et al._1992,G3allnew,1,7,Cooper et al._1992_6,Cooper et al._1992_10,1.5,3.5,53_54
Cooper et al._1992_45,Cooper et al._1992,G3allnew,1,7,Cooper et al._1992_7,Cooper et al._1992_9,1.5,3.5,7_8
Cooper et al._1992_46,Cooper et al._1992,G3allnew,1,8,Cooper et al._1992_1,Cooper et al._1992_10,1.5,3.5,38_39
Cooper et al._1992_47,Cooper et al._1992,G3allnew,1,8,Cooper et al._1992_2,Cooper et al._1992_9,1.5,3.5,28_29
Cooper et al._1992_48,Cooper et al._1992,G3allnew,1,8,Cooper et al._1992_3,Cooper et al._1992_8,1.5,3.5,23_24
Cooper et al._1992_49,Cooper et al._1992,G3allnew,1,8,Cooper et al._1992_4,Cooper et al._1992_7,1.5,3.5,33_34
Cooper et al._1992_50,Cooper et al._1992,G3allnew,1,8,Cooper et al._1992_5,Cooper et al._1992_6,1.5,3.5,43_44
Cooper et al._1992_51,Cooper et al._1992,G3allnew,1,9,Cooper et al._1992_1,Cooper et al._1992_5,1.5,3.5,3_4
Cooper et al._1992_52,Cooper et al._1992,G3allnew,1,9,Cooper et al._1992_2,Cooper et al._1992_4,1.5,3.5,13_14
Cooper et al._1992_53,Cooper et al._1992,G3allnew,1,9,Cooper et al._1992_6,Cooper et al._1992_11,1.5,3.5,54_55
Cooper et al._1992_54,Cooper et al._1992,G3allnew,1,9,Cooper et al._1992_7,Cooper et al._1992_10,1.5,3.5,8_9
Cooper et al._1992_55,Cooper et al._1992,G3allnew,1,9,Cooper et al._1992_8,Cooper et al._1992_9,1.5,3.5,18_19
Cooper et al._1992_56,Cooper et al._1992,G3allnew,2,1,Cooper et al._1992_2,Cooper et al._1992_11,1.5,3.5,100_101
Cooper et al._1992_57,Cooper et al._1992,G3allnew,2,1,Cooper et al._1992_3,Cooper et al._1992_10,2.0,3.5,90_91
Cooper et al._1992_58,Cooper et al._1992,G3allnew,2,1,Cooper et al._1992_4,Cooper et al._1992_9,1.5,3.5,85_86
Cooper et al._1992_59,Cooper et al._1992,G3allnew,2,1,Cooper et al._1992_5,Cooper et al._1992_8,1.0,3.5,95_96
Cooper et al._1992_60,Cooper et al._1992,G3allnew,2,1,Cooper et al._1992_6,Cooper et al._1992_7,1.5,3.5,105_106
