match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Cooper et al._1996_1,Cooper et al._1996,no comm,,1,Cooper et al._1996_1,Cooper et al._1996_2,1,3,0_1
Cooper et al._1996_2,Cooper et al._1996,no comm,,1,Cooper et al._1996_11,Cooper et al._1996_12,1,3,5_6
Cooper et al._1996_3,Cooper et al._1996,no comm,,1,Cooper et al._1996_13,Cooper et al._1996_14,2,3,6_7
Cooper et al._1996_4,Cooper et al._1996,no comm,,1,Cooper et al._1996_15,Cooper et al._1996_16,1,3,7_8
Cooper et al._1996_5,Cooper et al._1996,no comm,,1,Cooper et al._1996_17,Cooper et al._1996_18,2,3,8_9
Cooper et al._1996_6,Cooper et al._1996,no comm,,1,Cooper et al._1996_19,Cooper et al._1996_20,2,3,9_10
Cooper et al._1996_7,Cooper et al._1996,no comm,,1,Cooper et al._1996_21,Cooper et al._1996_22,2,4,10_11
Cooper et al._1996_8,Cooper et al._1996,no comm,,1,Cooper et al._1996_23,Cooper et al._1996_24,2,4,11_12
Cooper et al._1996_9,Cooper et al._1996,no comm,,1,Cooper et al._1996_25,Cooper et al._1996_26,2,3,12_13
Cooper et al._1996_10,Cooper et al._1996,no comm,,1,Cooper et al._1996_27,Cooper et al._1996_28,1,3,13_14
Cooper et al._1996_11,Cooper et al._1996,no comm,,1,Cooper et al._1996_29,Cooper et al._1996_30,1,4,14_15
Cooper et al._1996_12,Cooper et al._1996,no comm,,1,Cooper et al._1996_3,Cooper et al._1996_4,2,4,1_2
Cooper et al._1996_13,Cooper et al._1996,no comm,,1,Cooper et al._1996_31,Cooper et al._1996_32,1,3,15_16
Cooper et al._1996_14,Cooper et al._1996,no comm,,1,Cooper et al._1996_33,Cooper et al._1996_34,2,3,16_17
Cooper et al._1996_15,Cooper et al._1996,no comm,,1,Cooper et al._1996_35,Cooper et al._1996_36,2,3,17_18
Cooper et al._1996_16,Cooper et al._1996,no comm,,1,Cooper et al._1996_37,Cooper et al._1996_38,1,4,18_19
Cooper et al._1996_17,Cooper et al._1996,no comm,,1,Cooper et al._1996_39,Cooper et al._1996_40,1,3,19_20
Cooper et al._1996_18,Cooper et al._1996,no comm,,1,Cooper et al._1996_5,Cooper et al._1996_6,1,4,2_3
Cooper et al._1996_19,Cooper et al._1996,no comm,,1,Cooper et al._1996_7,Cooper et al._1996_8,1,4,3_4
Cooper et al._1996_20,Cooper et al._1996,no comm,,1,Cooper et al._1996_9,Cooper et al._1996_10,1,3,4_5
Cooper et al._1996_21,Cooper et al._1996,no comm,,10,Cooper et al._1996_1,Cooper et al._1996_20,1,3,180_181
Cooper et al._1996_22,Cooper et al._1996,no comm,,10,Cooper et al._1996_10,Cooper et al._1996_31,1,3,195_196
Cooper et al._1996_23,Cooper et al._1996,no comm,,10,Cooper et al._1996_11,Cooper et al._1996_30,2,3,185_186
Cooper et al._1996_24,Cooper et al._1996,no comm,,10,Cooper et al._1996_12,Cooper et al._1996_33,1,3,196_197
Cooper et al._1996_25,Cooper et al._1996,no comm,,10,Cooper et al._1996_13,Cooper et al._1996_32,1,3,186_187
Cooper et al._1996_26,Cooper et al._1996,no comm,,10,Cooper et al._1996_14,Cooper et al._1996_35,1,4,197_198
Cooper et al._1996_27,Cooper et al._1996,no comm,,10,Cooper et al._1996_15,Cooper et al._1996_34,1,3,187_188
Cooper et al._1996_28,Cooper et al._1996,no comm,,10,Cooper et al._1996_16,Cooper et al._1996_37,1,4,198_199
Cooper et al._1996_29,Cooper et al._1996,no comm,,10,Cooper et al._1996_17,Cooper et al._1996_36,1,4,188_189
Cooper et al._1996_30,Cooper et al._1996,no comm,,10,Cooper et al._1996_18,Cooper et al._1996_39,1,3,199_200
Cooper et al._1996_31,Cooper et al._1996,no comm,,10,Cooper et al._1996_19,Cooper et al._1996_38,2,3,189_190
Cooper et al._1996_32,Cooper et al._1996,no comm,,10,Cooper et al._1996_2,Cooper et al._1996_23,2,3,191_192
Cooper et al._1996_33,Cooper et al._1996,no comm,,10,Cooper et al._1996_21,Cooper et al._1996_40,2,4,190_191
Cooper et al._1996_34,Cooper et al._1996,no comm,,10,Cooper et al._1996_3,Cooper et al._1996_22,1,4,181_182
Cooper et al._1996_35,Cooper et al._1996,no comm,,10,Cooper et al._1996_4,Cooper et al._1996_25,1,4,192_193
Cooper et al._1996_36,Cooper et al._1996,no comm,,10,Cooper et al._1996_5,Cooper et al._1996_24,1,3,182_183
Cooper et al._1996_37,Cooper et al._1996,no comm,,10,Cooper et al._1996_6,Cooper et al._1996_27,2,3,193_194
Cooper et al._1996_38,Cooper et al._1996,no comm,,10,Cooper et al._1996_7,Cooper et al._1996_26,2,3,183_184
Cooper et al._1996_39,Cooper et al._1996,no comm,,10,Cooper et al._1996_8,Cooper et al._1996_29,2,3,194_195
Cooper et al._1996_40,Cooper et al._1996,no comm,,10,Cooper et al._1996_9,Cooper et al._1996_28,1,3,184_185
Cooper et al._1996_41,Cooper et al._1996,no comm,,11,Cooper et al._1996_1,Cooper et al._1996_22,1,3,200_201
Cooper et al._1996_42,Cooper et al._1996,no comm,,11,Cooper et al._1996_10,Cooper et al._1996_29,1,4,214_215
Cooper et al._1996_43,Cooper et al._1996,no comm,,11,Cooper et al._1996_11,Cooper et al._1996_32,1,3,205_206
Cooper et al._1996_44,Cooper et al._1996,no comm,,11,Cooper et al._1996_12,Cooper et al._1996_31,1,3,215_216
Cooper et al._1996_45,Cooper et al._1996,no comm,,11,Cooper et al._1996_13,Cooper et al._1996_34,1,3,206_207
Cooper et al._1996_46,Cooper et al._1996,no comm,,11,Cooper et al._1996_14,Cooper et al._1996_33,1,3,216_217
Cooper et al._1996_47,Cooper et al._1996,no comm,,11,Cooper et al._1996_15,Cooper et al._1996_36,2,4,207_208
Cooper et al._1996_48,Cooper et al._1996,no comm,,11,Cooper et al._1996_16,Cooper et al._1996_35,1,4,217_218
Cooper et al._1996_49,Cooper et al._1996,no comm,,11,Cooper et al._1996_17,Cooper et al._1996_38,1,4,208_209
Cooper et al._1996_50,Cooper et al._1996,no comm,,11,Cooper et al._1996_18,Cooper et al._1996_37,1,3,218_219
Cooper et al._1996_51,Cooper et al._1996,no comm,,11,Cooper et al._1996_19,Cooper et al._1996_40,1,4,209_210
Cooper et al._1996_52,Cooper et al._1996,no comm,,11,Cooper et al._1996_2,Cooper et al._1996_21,2,4,210_211
