match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Costa-Gomes et al._2001_1,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_1,Costa-Gomes et al._2001_2,2.0,,0_1
Costa-Gomes et al._2001_2,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_10,1.0,,8_9
Costa-Gomes et al._2001_3,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_11,2.0,,9_10
Costa-Gomes et al._2001_4,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_12,2.0,,10_11
Costa-Gomes et al._2001_5,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_13,2.0,,11_12
Costa-Gomes et al._2001_6,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_14,3.0,,12_13
Costa-Gomes et al._2001_7,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_15,3.0,,13_14
Costa-Gomes et al._2001_8,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_16,4.0,,14_15
Costa-Gomes et al._2001_9,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_17,4.0,,15_16
Costa-Gomes et al._2001_10,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_18,3.0,,16_17
Costa-Gomes et al._2001_11,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_19,4.0,,17_18
Costa-Gomes et al._2001_12,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_20,3.0,,18_19
Costa-Gomes et al._2001_13,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_21,4.0,,19_20
Costa-Gomes et al._2001_14,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_22,4.0,,20_21
Costa-Gomes et al._2001_15,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_23,3.0,,21_22
Costa-Gomes et al._2001_16,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_24,3.0,,22_23
Costa-Gomes et al._2001_17,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_25,4.0,,23_24
Costa-Gomes et al._2001_18,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_3,2.0,,1_2
Costa-Gomes et al._2001_19,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_4,2.0,,2_3
Costa-Gomes et al._2001_20,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_5,1.0,,3_4
Costa-Gomes et al._2001_21,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_6,2.0,,4_5
Costa-Gomes et al._2001_22,Costa-Gomes et al._2001,Baseline,1,2A,Costa-Gomes et al._2001_2,Costa-Gomes et al._2001_7,1.0,,5_6
