match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Duffy_Ochs_2009_1,Duffy_Ochs_2009,1,071003B,1,Duffy_Ochs_2009_1,Duffy_Ochs_2009_4,1,3,4922_4923
Duffy_Ochs_2009_2,Duffy_Ochs_2009,1,071003B,1,Duffy_Ochs_2009_3,Duffy_Ochs_2009_9,1,4,4923_4924
Duffy_Ochs_2009_3,Duffy_Ochs_2009,1,071003B,1,Duffy_Ochs_2009_5,Duffy_Ochs_2009_7,1,4,4924_4925
Duffy_Ochs_2009_4,Duffy_Ochs_2009,1,071003B,2,Duffy_Ochs_2009_1,Duffy_Ochs_2009_4,1,3,4928_4929
Duffy_Ochs_2009_5,Duffy_Ochs_2009,1,071003B,2,Duffy_Ochs_2009_3,Duffy_Ochs_2009_5,1,4,4929_4930
Duffy_Ochs_2009_6,Duffy_Ochs_2009,1,071003B,2,Duffy_Ochs_2009_7,Duffy_Ochs_2009_9,2,4,4931_4932
Duffy_Ochs_2009_7,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_1,Duffy_Ochs_2009_12,1,3,6068_6069
Duffy_Ochs_2009_8,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_11,Duffy_Ochs_2009_13,2,3,6075_6076
Duffy_Ochs_2009_9,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_2,Duffy_Ochs_2009_8,1,3,6078_6079
Duffy_Ochs_2009_10,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_3,Duffy_Ochs_2009_4,2,4,6069_6070
Duffy_Ochs_2009_11,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_5,Duffy_Ochs_2009_14,2,4,6070_6071
Duffy_Ochs_2009_12,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_6,Duffy_Ochs_2009_7,1,4,6071_6072
Duffy_Ochs_2009_13,Duffy_Ochs_2009,1,112102,1,Duffy_Ochs_2009_9,Duffy_Ochs_2009_10,2,4,6072_6073
Duffy_Ochs_2009_14,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_1,Duffy_Ochs_2009_6,1,4,6082_6083
Duffy_Ochs_2009_15,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_13,Duffy_Ochs_2009_14,1,4,6091_6092
Duffy_Ochs_2009_16,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_2,Duffy_Ochs_2009_12,1,3,6094_6095
Duffy_Ochs_2009_17,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_3,Duffy_Ochs_2009_7,2,4,6083_6084
Duffy_Ochs_2009_18,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_4,Duffy_Ochs_2009_8,2,3,6087_6088
Duffy_Ochs_2009_19,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_5,Duffy_Ochs_2009_11,2,4,6084_6085
Duffy_Ochs_2009_20,Duffy_Ochs_2009,1,112102,2,Duffy_Ochs_2009_9,Duffy_Ochs_2009_10,2,4,6086_6087
Duffy_Ochs_2009_21,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_1,Duffy_Ochs_2009_14,1,4,6096_6097
Duffy_Ochs_2009_22,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_10,Duffy_Ochs_2009_13,2,4,6102_6103
Duffy_Ochs_2009_23,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_11,Duffy_Ochs_2009_12,2,3,6103_6104
Duffy_Ochs_2009_24,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_2,Duffy_Ochs_2009_7,2,3,6099_6100
Duffy_Ochs_2009_25,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_3,Duffy_Ochs_2009_8,2,3,6097_6098
Duffy_Ochs_2009_26,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_4,Duffy_Ochs_2009_9,2,4,6100_6101
Duffy_Ochs_2009_27,Duffy_Ochs_2009,1,112102,3,Duffy_Ochs_2009_5,Duffy_Ochs_2009_6,2,4,6098_6099
Duffy_Ochs_2009_28,Duffy_Ochs_2009,1,112102,4,Duffy_Ochs_2009_1,Duffy_Ochs_2009_4,2,4,6110_6111
