experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_53,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_54,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_55,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_68,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_56,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_72,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_57,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_70,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_58,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_64,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_59,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_71,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_60,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_67,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_61,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_65,player_2,3,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_62,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_69,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_63,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,1,N/A,N/A,N/A,Feltovich et al._ 2012_66,player_2,4,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,10,N/A,N/A,N/A,Feltovich et al._ 2012_53,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Feltovich et al._ 2012,1,12,10,N/A,N/A,N/A,Feltovich et al._ 2012_59,player_2,3,N/A,N/A,N/A,N/A,N/A,0
