match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Feltovich et al._ 2012_1,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_53,Feltovich et al._ 2012_54,1,3
Feltovich et al._ 2012_2,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_55,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_3,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_56,Feltovich et al._ 2012_72,1,4
Feltovich et al._ 2012_4,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_57,Feltovich et al._ 2012_70,2,3
Feltovich et al._ 2012_5,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_58,Feltovich et al._ 2012_64,1,3
Feltovich et al._ 2012_6,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_59,Feltovich et al._ 2012_71,2,3
Feltovich et al._ 2012_7,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_60,Feltovich et al._ 2012_67,1,4
Feltovich et al._ 2012_8,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_61,Feltovich et al._ 2012_65,2,3
Feltovich et al._ 2012_9,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_62,Feltovich et al._ 2012_69,1,4
Feltovich et al._ 2012_10,Feltovich et al._ 2012,1,12,1,Feltovich et al._ 2012_63,Feltovich et al._ 2012_66,2,4
Feltovich et al._ 2012_11,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_53,Feltovich et al._ 2012_59,2,3
Feltovich et al._ 2012_12,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_54,Feltovich et al._ 2012_66,2,3
Feltovich et al._ 2012_13,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_55,Feltovich et al._ 2012_67,2,4
Feltovich et al._ 2012_14,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_56,Feltovich et al._ 2012_71,2,4
Feltovich et al._ 2012_15,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_57,Feltovich et al._ 2012_72,2,4
Feltovich et al._ 2012_16,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_58,Feltovich et al._ 2012_69,2,4
Feltovich et al._ 2012_17,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_60,Feltovich et al._ 2012_68,2,4
Feltovich et al._ 2012_18,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_61,Feltovich et al._ 2012_65,1,4
Feltovich et al._ 2012_19,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_62,Feltovich et al._ 2012_70,2,4
Feltovich et al._ 2012_20,Feltovich et al._ 2012,1,12,10,Feltovich et al._ 2012_63,Feltovich et al._ 2012_64,1,3
Feltovich et al._ 2012_21,Feltovich et al._ 2012,1,12,11,Feltovich et al._ 2012_53,Feltovich et al._ 2012_54,2,3
