match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Rankin et al._2000_1,Rankin et al._2000,0,1,10,Rankin et al._2000_17,Rankin et al._2000_22,1,4,432_433
Rankin et al._2000_2,Rankin et al._2000,0,1,10,Rankin et al._2000_18,Rankin et al._2000_19,1,3,433_434
Rankin et al._2000_3,Rankin et al._2000,0,1,10,Rankin et al._2000_20,Rankin et al._2000_23,1,3,437_438
Rankin et al._2000_4,Rankin et al._2000,0,1,10,Rankin et al._2000_21,Rankin et al._2000_24,1,3,434_435
Rankin et al._2000_5,Rankin et al._2000,0,1,12,Rankin et al._2000_17,Rankin et al._2000_20,1,3,528_529
Rankin et al._2000_6,Rankin et al._2000,0,1,12,Rankin et al._2000_18,Rankin et al._2000_24,1,3,531_532
Rankin et al._2000_7,Rankin et al._2000,0,1,12,Rankin et al._2000_19,Rankin et al._2000_23,1,3,529_530
Rankin et al._2000_8,Rankin et al._2000,0,1,12,Rankin et al._2000_21,Rankin et al._2000_22,1,3,530_531
Rankin et al._2000_9,Rankin et al._2000,0,1,14,Rankin et al._2000_17,Rankin et al._2000_18,1,3,624_625
Rankin et al._2000_10,Rankin et al._2000,0,1,14,Rankin et al._2000_19,Rankin et al._2000_21,1,3,625_626
Rankin et al._2000_11,Rankin et al._2000,0,1,14,Rankin et al._2000_20,Rankin et al._2000_24,2,3,630_631
Rankin et al._2000_12,Rankin et al._2000,0,1,14,Rankin et al._2000_22,Rankin et al._2000_23,1,3,628_629
Rankin et al._2000_13,Rankin et al._2000,0,1,15,Rankin et al._2000_17,Rankin et al._2000_24,1,4,672_673
Rankin et al._2000_14,Rankin et al._2000,0,1,15,Rankin et al._2000_18,Rankin et al._2000_19,1,3,673_674
Rankin et al._2000_15,Rankin et al._2000,0,1,15,Rankin et al._2000_20,Rankin et al._2000_21,1,3,674_675
Rankin et al._2000_16,Rankin et al._2000,0,1,15,Rankin et al._2000_22,Rankin et al._2000_23,1,3,676_677
Rankin et al._2000_17,Rankin et al._2000,0,1,16,Rankin et al._2000_17,Rankin et al._2000_24,1,4,720_721
Rankin et al._2000_18,Rankin et al._2000,0,1,16,Rankin et al._2000_18,Rankin et al._2000_23,1,3,723_724
Rankin et al._2000_19,Rankin et al._2000,0,1,16,Rankin et al._2000_19,Rankin et al._2000_22,1,3,721_722
Rankin et al._2000_20,Rankin et al._2000,0,1,16,Rankin et al._2000_20,Rankin et al._2000_21,1,3,722_723
Rankin et al._2000_21,Rankin et al._2000,0,1,19,Rankin et al._2000_17,Rankin et al._2000_23,1,3,864_865
Rankin et al._2000_22,Rankin et al._2000,0,1,19,Rankin et al._2000_18,Rankin et al._2000_20,1,3,867_868
Rankin et al._2000_23,Rankin et al._2000,0,1,19,Rankin et al._2000_19,Rankin et al._2000_21,1,3,865_866
Rankin et al._2000_24,Rankin et al._2000,0,1,19,Rankin et al._2000_22,Rankin et al._2000_24,1,3,868_869
Rankin et al._2000_25,Rankin et al._2000,0,1,2,Rankin et al._2000_17,Rankin et al._2000_18,1,4,48_49
Rankin et al._2000_26,Rankin et al._2000,0,1,2,Rankin et al._2000_19,Rankin et al._2000_20,1,4,49_50
Rankin et al._2000_27,Rankin et al._2000,0,1,2,Rankin et al._2000_21,Rankin et al._2000_22,1,4,50_51
Rankin et al._2000_28,Rankin et al._2000,0,1,2,Rankin et al._2000_23,Rankin et al._2000_24,1,4,53_54
Rankin et al._2000_29,Rankin et al._2000,0,1,24,Rankin et al._2000_17,Rankin et al._2000_21,1,3,1104_1105
Rankin et al._2000_30,Rankin et al._2000,0,1,24,Rankin et al._2000_18,Rankin et al._2000_20,1,3,1107_1108
Rankin et al._2000_31,Rankin et al._2000,0,1,24,Rankin et al._2000_19,Rankin et al._2000_22,1,4,1105_1106
Rankin et al._2000_32,Rankin et al._2000,0,1,24,Rankin et al._2000_23,Rankin et al._2000_24,1,3,1109_1110
