match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
Schmidt et al._2013_1,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_133,Schmidt et al._2013_134,2,4
Schmidt et al._2013_2,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_135,Schmidt et al._2013_136,2,4
Schmidt et al._2013_3,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_137,Schmidt et al._2013_138,1,4
Schmidt et al._2013_4,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_139,Schmidt et al._2013_140,2,3
Schmidt et al._2013_5,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_141,Schmidt et al._2013_142,2,4
Schmidt et al._2013_6,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_143,Schmidt et al._2013_144,2,3
Schmidt et al._2013_7,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_145,Schmidt et al._2013_146,2,3
Schmidt et al._2013_8,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_147,Schmidt et al._2013_148,1,4
Schmidt et al._2013_9,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_149,Schmidt et al._2013_150,1,4
Schmidt et al._2013_10,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_151,Schmidt et al._2013_152,2,4
Schmidt et al._2013_11,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_153,Schmidt et al._2013_154,2,4
Schmidt et al._2013_12,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_155,Schmidt et al._2013_156,2,4
Schmidt et al._2013_13,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_157,Schmidt et al._2013_158,2,3
Schmidt et al._2013_14,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_159,Schmidt et al._2013_160,1,4
Schmidt et al._2013_15,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_161,Schmidt et al._2013_162,2,4
Schmidt et al._2013_16,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_163,Schmidt et al._2013_164,1,4
Schmidt et al._2013_17,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_165,Schmidt et al._2013_166,1,4
Schmidt et al._2013_18,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_167,Schmidt et al._2013_168,2,3
Schmidt et al._2013_19,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_169,Schmidt et al._2013_170,2,3
Schmidt et al._2013_20,Schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,Schmidt et al._2013_171,Schmidt et al._2013_172,2,4
Schmidt et al._2013_21,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_173,Schmidt et al._2013_174,2,4
Schmidt et al._2013_22,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_175,Schmidt et al._2013_176,2,3
Schmidt et al._2013_23,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_177,Schmidt et al._2013_178,1,3
Schmidt et al._2013_24,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_179,Schmidt et al._2013_180,1,4
Schmidt et al._2013_25,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_181,Schmidt et al._2013_182,2,3
Schmidt et al._2013_26,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_183,Schmidt et al._2013_184,2,3
Schmidt et al._2013_27,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_185,Schmidt et al._2013_186,1,4
Schmidt et al._2013_28,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_187,Schmidt et al._2013_188,1,4
Schmidt et al._2013_29,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_189,Schmidt et al._2013_190,1,4
Schmidt et al._2013_30,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_191,Schmidt et al._2013_192,2,4
Schmidt et al._2013_31,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_193,Schmidt et al._2013_194,2,4
Schmidt et al._2013_32,Schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,Schmidt et al._2013_195,Schmidt et al._2013_196,2,4
