experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_15,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_26,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_35,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_44,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_53,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_62,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_71,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-1,19,N/A,N/A,N/A,Vlaev_Chater_2006_80,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_102,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_111,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_120,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_129,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_138,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_147,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_84,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,14,N/A,N/A,N/A,Vlaev_Chater_2006_93,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_102,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_111,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_120,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_129,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_138,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_147,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_84,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,1,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,16,N/A,N/A,N/A,Vlaev_Chater_2006_93,player_2,,N/A,N/A,N/A,N/A,N/A,0
Vlaev_Chater_2006,1,1-2,17,N/A,N/A,N/A,Vlaev_Chater_2006_16,player_1,2,N/A,N/A,N/A,N/A,N/A,0
