match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
Vlaev_Chater_2006_1,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_15,Vlaev_Chater_2006_16,1,,18_19
Vlaev_Chater_2006_2,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_26,1,,43_44
Vlaev_Chater_2006_3,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_35,2,,68_69
Vlaev_Chater_2006_4,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_44,2,,93_94
Vlaev_Chater_2006_5,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_53,2,,118_119
Vlaev_Chater_2006_6,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_62,2,,143_144
Vlaev_Chater_2006_7,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_71,2,,168_169
Vlaev_Chater_2006_8,Vlaev_Chater_2006,1,1-1,19,Vlaev_Chater_2006_16,Vlaev_Chater_2006_80,2,,193_194
Vlaev_Chater_2006_9,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_102,2,,263_264
Vlaev_Chater_2006_10,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_111,2,,288_289
Vlaev_Chater_2006_11,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_120,1,,313_314
Vlaev_Chater_2006_12,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_129,2,,338_339
Vlaev_Chater_2006_13,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_138,1,,363_364
Vlaev_Chater_2006_14,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_147,2,,388_389
Vlaev_Chater_2006_15,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_84,2,,213_214
Vlaev_Chater_2006_16,Vlaev_Chater_2006,1,1-2,14,Vlaev_Chater_2006_16,Vlaev_Chater_2006_93,2,,238_239
Vlaev_Chater_2006_17,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_102,2,,265_266
Vlaev_Chater_2006_18,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_111,2,,290_291
Vlaev_Chater_2006_19,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_120,1,,315_316
Vlaev_Chater_2006_20,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_129,1,,340_341
Vlaev_Chater_2006_21,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_138,1,,365_366
Vlaev_Chater_2006_22,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_147,1,,390_391
Vlaev_Chater_2006_23,Vlaev_Chater_2006,1,1-2,16,Vlaev_Chater_2006_16,Vlaev_Chater_2006_84,2,,215_216
