match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
andreoni_miller_1993_1,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_1,andreoni_miller_1993_2,3,2,0_1
andreoni_miller_1993_2,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_11,andreoni_miller_1993_12,4,2,7_8
andreoni_miller_1993_3,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_13,andreoni_miller_1993_14,4,1,8_9
andreoni_miller_1993_4,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_3,andreoni_miller_1993_4,3,2,2_3
andreoni_miller_1993_5,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_5,andreoni_miller_1993_6,3,2,3_4
andreoni_miller_1993_6,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_7,andreoni_miller_1993_8,3,1,4_5
andreoni_miller_1993_7,andreoni_miller_1993,STGR,1,1,andreoni_miller_1993_9,andreoni_miller_1993_10,4,2,5_6
andreoni_miller_1993_8,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_1,andreoni_miller_1993_6,4,2,126_127
andreoni_miller_1993_9,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_12,andreoni_miller_1993_14,4,2,137_138
andreoni_miller_1993_10,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_2,andreoni_miller_1993_10,4,2,127_128
andreoni_miller_1993_11,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_3,andreoni_miller_1993_7,4,2,128_129
andreoni_miller_1993_12,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_4,andreoni_miller_1993_13,4,2,134_135
andreoni_miller_1993_13,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_5,andreoni_miller_1993_8,4,2,129_130
andreoni_miller_1993_14,andreoni_miller_1993,STGR,1,10,andreoni_miller_1993_9,andreoni_miller_1993_11,3,2,131_132
andreoni_miller_1993_15,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_1,andreoni_miller_1993_5,4,2,1386_1387
andreoni_miller_1993_16,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_13,andreoni_miller_1993_14,4,2,1394_1395
andreoni_miller_1993_17,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_2,andreoni_miller_1993_12,3,2,1387_1388
andreoni_miller_1993_18,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_3,andreoni_miller_1993_11,4,2,1388_1389
andreoni_miller_1993_19,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_4,andreoni_miller_1993_8,4,2,1392_1393
andreoni_miller_1993_20,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_6,andreoni_miller_1993_10,4,2,1396_1397
andreoni_miller_1993_21,andreoni_miller_1993,STGR,1,100,andreoni_miller_1993_7,andreoni_miller_1993_9,3,2,1390_1391
andreoni_miller_1993_22,andreoni_miller_1993,STGR,1,101,andreoni_miller_1993_1,andreoni_miller_1993_4,3,2,1400_1401
andreoni_miller_1993_23,andreoni_miller_1993,STGR,1,101,andreoni_miller_1993_12,andreoni_miller_1993_13,4,2,1408_1409
