experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_1,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_2,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_3,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_4,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_5,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_6,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_7,player_1,2,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,1,N/A,N/A,N/A,batsamvan_8,player_2,3,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_1,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_2,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_3,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_6,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_4,player_1,2,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_8,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_5,player_1,2,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,10,N/A,N/A,N/A,batsamvan_7,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,11,N/A,N/A,N/A,batsamvan_1,player_1,2,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,11,N/A,N/A,N/A,batsamvan_8,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,11,N/A,N/A,N/A,batsamvan_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,11,N/A,N/A,N/A,batsamvan_6,player_2,4,N/A,N/A,N/A,N/A,N/A,0
batsamvan,0.6R,1,11,N/A,N/A,N/A,batsamvan_3,player_1,2,N/A,N/A,N/A,N/A,N/A,0
