match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
batsamvan_1,batsamvan,0.6R,1,1,batsamvan_1,batsamvan_2,1,4,0_1
batsamvan_2,batsamvan,0.6R,1,1,batsamvan_3,batsamvan_4,1,4,2_3
batsamvan_3,batsamvan,0.6R,1,1,batsamvan_5,batsamvan_6,1,4,3_4
batsamvan_4,batsamvan,0.6R,1,1,batsamvan_7,batsamvan_8,2,3,4_5
batsamvan_5,batsamvan,0.6R,1,10,batsamvan_1,batsamvan_2,1,4,72_73
batsamvan_6,batsamvan,0.6R,1,10,batsamvan_3,batsamvan_6,1,4,74_75
batsamvan_7,batsamvan,0.6R,1,10,batsamvan_4,batsamvan_8,2,4,77_78
batsamvan_8,batsamvan,0.6R,1,10,batsamvan_5,batsamvan_7,2,4,75_76
batsamvan_9,batsamvan,0.6R,1,11,batsamvan_1,batsamvan_8,2,4,80_81
batsamvan_10,batsamvan,0.6R,1,11,batsamvan_2,batsamvan_6,1,4,81_82
batsamvan_11,batsamvan,0.6R,1,11,batsamvan_3,batsamvan_7,2,4,82_83
batsamvan_12,batsamvan,0.6R,1,11,batsamvan_4,batsamvan_5,1,4,83_84
batsamvan_13,batsamvan,0.6R,1,12,batsamvan_1,batsamvan_7,1,4,88_89
batsamvan_14,batsamvan,0.6R,1,12,batsamvan_2,batsamvan_5,1,4,89_90
batsamvan_15,batsamvan,0.6R,1,12,batsamvan_3,batsamvan_8,2,3,90_91
batsamvan_16,batsamvan,0.6R,1,12,batsamvan_4,batsamvan_6,2,4,93_94
batsamvan_17,batsamvan,0.6R,1,13,batsamvan_1,batsamvan_8,1,4,96_97
batsamvan_18,batsamvan,0.6R,1,13,batsamvan_2,batsamvan_3,1,3,97_98
batsamvan_19,batsamvan,0.6R,1,13,batsamvan_4,batsamvan_6,2,4,101_102
batsamvan_20,batsamvan,0.6R,1,13,batsamvan_5,batsamvan_7,2,4,99_100
batsamvan_21,batsamvan,0.6R,1,14,batsamvan_1,batsamvan_2,2,4,104_105
