match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
charness et al._2007_1,charness et al._2007,1,10,1,charness et al._2007_49,charness et al._2007_50,3,1,1200_1201
charness et al._2007_2,charness et al._2007,1,10,1,charness et al._2007_51,charness et al._2007_52,1,3,1250_1251
charness et al._2007_3,charness et al._2007,1,10,1,charness et al._2007_53,charness et al._2007_54,3,2,1300_1301
charness et al._2007_4,charness et al._2007,1,10,1,charness et al._2007_55,charness et al._2007_56,4,2,1350_1351
charness et al._2007_5,charness et al._2007,1,10,1,charness et al._2007_57,charness et al._2007_58,3,2,1400_1401
charness et al._2007_6,charness et al._2007,1,10,1,charness et al._2007_59,charness et al._2007_60,4,1,1425_1426
charness et al._2007_7,charness et al._2007,1,10,1,charness et al._2007_61,charness et al._2007_62,1,3,1500_1501
charness et al._2007_8,charness et al._2007,1,10,1,charness et al._2007_63,charness et al._2007_64,4,1,1525_1526
charness et al._2007_9,charness et al._2007,1,10,10,charness et al._2007_49,charness et al._2007_52,3,1,1209_1210
charness et al._2007_10,charness et al._2007,1,10,10,charness et al._2007_50,charness et al._2007_51,4,2,1234_1235
charness et al._2007_11,charness et al._2007,1,10,10,charness et al._2007_53,charness et al._2007_56,1,3,1309_1310
charness et al._2007_12,charness et al._2007,1,10,10,charness et al._2007_54,charness et al._2007_55,4,2,1334_1335
charness et al._2007_13,charness et al._2007,1,10,10,charness et al._2007_57,charness et al._2007_59,3,2,1409_1410
charness et al._2007_14,charness et al._2007,1,10,10,charness et al._2007_58,charness et al._2007_60,2,4,1459_1460
charness et al._2007_15,charness et al._2007,1,10,10,charness et al._2007_61,charness et al._2007_64,4,1,1509_1510
charness et al._2007_16,charness et al._2007,1,10,10,charness et al._2007_62,charness et al._2007_63,4,1,1534_1535
charness et al._2007_17,charness et al._2007,1,10,11,charness et al._2007_49,charness et al._2007_51,3,1,1210_1211
charness et al._2007_18,charness et al._2007,1,10,11,charness et al._2007_50,charness et al._2007_52,3,1,1235_1236
