match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
clark et al._2001_1,clark et al._2001,1,1,1,clark et al._2001_1,clark et al._2001_8,2,3,6_7
clark et al._2001_2,clark et al._2001,1,1,1,clark et al._2001_10,clark et al._2001_18,1,3,71_72
clark et al._2001_3,clark et al._2001,1,1,1,clark et al._2001_11,clark et al._2001_14,2,3,32_33
clark et al._2001_4,clark et al._2001,1,1,1,clark et al._2001_2,clark et al._2001_12,2,3,11_12
clark et al._2001_5,clark et al._2001,1,1,1,clark et al._2001_3,clark et al._2001_19,1,3,85_86
clark et al._2001_6,clark et al._2001,1,1,1,clark et al._2001_4,clark et al._2001_20,1,4,91_92
clark et al._2001_7,clark et al._2001,1,1,1,clark et al._2001_5,clark et al._2001_13,2,3,22_23
clark et al._2001_8,clark et al._2001,1,1,1,clark et al._2001_6,clark et al._2001_15,1,3,47_48
clark et al._2001_9,clark et al._2001,1,1,1,clark et al._2001_7,clark et al._2001_16,1,3,56_57
clark et al._2001_10,clark et al._2001,1,1,1,clark et al._2001_9,clark et al._2001_17,2,4,69_70
clark et al._2001_11,clark et al._2001,1,1,10,clark et al._2001_1,clark et al._2001_4,2,3,2_3
clark et al._2001_12,clark et al._2001,1,1,10,clark et al._2001_10,clark et al._2001_19,1,3,81_82
clark et al._2001_13,clark et al._2001,1,1,10,clark et al._2001_11,clark et al._2001_15,1,3,48_49
clark et al._2001_14,clark et al._2001,1,1,10,clark et al._2001_2,clark et al._2001_13,1,3,26_27
clark et al._2001_15,clark et al._2001,1,1,10,clark et al._2001_3,clark et al._2001_20,2,3,90_91
clark et al._2001_16,clark et al._2001,1,1,10,clark et al._2001_5,clark et al._2001_14,1,3,39_40
clark et al._2001_17,clark et al._2001,1,1,10,clark et al._2001_6,clark et al._2001_16,1,3,52_53
clark et al._2001_18,clark et al._2001,1,1,10,clark et al._2001_7,clark et al._2001_17,2,3,61_62
clark et al._2001_19,clark et al._2001,1,1,10,clark et al._2001_8,clark et al._2001_12,1,3,19_20
clark et al._2001_20,clark et al._2001,1,1,10,clark et al._2001_9,clark et al._2001_18,1,4,76_77
clark et al._2001_21,clark et al._2001,1,1,2,clark et al._2001_1,clark et al._2001_2,2,3,0_1
clark et al._2001_22,clark et al._2001,1,1,2,clark et al._2001_10,clark et al._2001_17,2,3,63_64
clark et al._2001_23,clark et al._2001,1,1,2,clark et al._2001_11,clark et al._2001_13,2,4,29_30
clark et al._2001_24,clark et al._2001,1,1,2,clark et al._2001_3,clark et al._2001_18,1,3,77_78
clark et al._2001_25,clark et al._2001,1,1,2,clark et al._2001_4,clark et al._2001_19,1,4,80_81
clark et al._2001_26,clark et al._2001,1,1,2,clark et al._2001_5,clark et al._2001_12,2,3,10_11
clark et al._2001_27,clark et al._2001,1,1,2,clark et al._2001_6,clark et al._2001_14,2,3,30_31
clark et al._2001_28,clark et al._2001,1,1,2,clark et al._2001_7,clark et al._2001_15,1,3,49_50
clark et al._2001_29,clark et al._2001,1,1,2,clark et al._2001_8,clark et al._2001_20,1,3,93_94
clark et al._2001_30,clark et al._2001,1,1,2,clark et al._2001_9,clark et al._2001_16,1,4,53_54
clark et al._2001_31,clark et al._2001,1,1,3,clark et al._2001_1,clark et al._2001_5,2,3,3_4
clark et al._2001_32,clark et al._2001,1,1,3,clark et al._2001_10,clark et al._2001_16,1,3,58_59
clark et al._2001_33,clark et al._2001,1,1,3,clark et al._2001_11,clark et al._2001_12,1,3,16_17
clark et al._2001_34,clark et al._2001,1,1,3,clark et al._2001_2,clark et al._2001_20,1,3,96_97
clark et al._2001_35,clark et al._2001,1,1,3,clark et al._2001_3,clark et al._2001_17,2,3,62_63
clark et al._2001_36,clark et al._2001,1,1,3,clark et al._2001_4,clark et al._2001_18,1,3,70_71
clark et al._2001_37,clark et al._2001,1,1,3,clark et al._2001_6,clark et al._2001_13,2,3,21_22
clark et al._2001_38,clark et al._2001,1,1,3,clark et al._2001_7,clark et al._2001_14,2,3,33_34
clark et al._2001_39,clark et al._2001,1,1,3,clark et al._2001_8,clark et al._2001_19,1,3,87_88
clark et al._2001_40,clark et al._2001,1,1,3,clark et al._2001_9,clark et al._2001_15,1,3,45_46
clark et al._2001_41,clark et al._2001,1,1,4,clark et al._2001_1,clark et al._2001_11,2,4,9_10
clark et al._2001_42,clark et al._2001,1,1,4,clark et al._2001_10,clark et al._2001_15,1,3,41_42
clark et al._2001_43,clark et al._2001,1,1,4,clark et al._2001_2,clark et al._2001_19,1,3,86_87
clark et al._2001_44,clark et al._2001,1,1,4,clark et al._2001_3,clark et al._2001_16,1,3,57_58
clark et al._2001_45,clark et al._2001,1,1,4,clark et al._2001_4,clark et al._2001_17,2,3,67_68
clark et al._2001_46,clark et al._2001,1,1,4,clark et al._2001_5,clark et al._2001_20,1,3,92_93
clark et al._2001_47,clark et al._2001,1,1,4,clark et al._2001_6,clark et al._2001_12,1,3,17_18
clark et al._2001_48,clark et al._2001,1,1,4,clark et al._2001_7,clark et al._2001_13,2,3,20_21
clark et al._2001_49,clark et al._2001,1,1,4,clark et al._2001_8,clark et al._2001_18,1,3,78_79
clark et al._2001_50,clark et al._2001,1,1,4,clark et al._2001_9,clark et al._2001_14,2,3,31_32
clark et al._2001_51,clark et al._2001,1,1,5,clark et al._2001_1,clark et al._2001_6,2,3,4_5
clark et al._2001_52,clark et al._2001,1,1,5,clark et al._2001_10,clark et al._2001_14,1,3,37_38
clark et al._2001_53,clark et al._2001,1,1,5,clark et al._2001_11,clark et al._2001_20,1,4,95_96
clark et al._2001_54,clark et al._2001,1,1,5,clark et al._2001_2,clark et al._2001_18,1,3,75_76
clark et al._2001_55,clark et al._2001,1,1,5,clark et al._2001_3,clark et al._2001_15,1,3,44_45
clark et al._2001_56,clark et al._2001,1,1,5,clark et al._2001_4,clark et al._2001_16,1,3,51_52
clark et al._2001_57,clark et al._2001,1,1,5,clark et al._2001_5,clark et al._2001_19,1,3,82_83
clark et al._2001_58,clark et al._2001,1,1,5,clark et al._2001_7,clark et al._2001_12,1,3,14_15
clark et al._2001_59,clark et al._2001,1,1,5,clark et al._2001_8,clark et al._2001_17,2,3,68_69
clark et al._2001_60,clark et al._2001,1,1,5,clark et al._2001_9,clark et al._2001_13,1,3,24_25
clark et al._2001_61,clark et al._2001,1,1,6,clark et al._2001_1,clark et al._2001_7,2,3,5_6
clark et al._2001_62,clark et al._2001,1,1,6,clark et al._2001_10,clark et al._2001_13,1,3,23_24
clark et al._2001_63,clark et al._2001,1,1,6,clark et al._2001_11,clark et al._2001_19,1,3,89_90
clark et al._2001_64,clark et al._2001,1,1,6,clark et al._2001_2,clark et al._2001_17,2,3,64_65
clark et al._2001_65,clark et al._2001,1,1,6,clark et al._2001_3,clark et al._2001_14,1,3,36_37
clark et al._2001_66,clark et al._2001,1,1,6,clark et al._2001_4,clark et al._2001_15,1,3,40_41
clark et al._2001_67,clark et al._2001,1,1,6,clark et al._2001_5,clark et al._2001_18,1,3,72_73
clark et al._2001_68,clark et al._2001,1,1,6,clark et al._2001_6,clark et al._2001_20,1,3,98_99
clark et al._2001_69,clark et al._2001,1,1,6,clark et al._2001_8,clark et al._2001_16,1,3,50_51
clark et al._2001_70,clark et al._2001,1,1,6,clark et al._2001_9,clark et al._2001_12,1,3,18_19
clark et al._2001_71,clark et al._2001,1,1,7,clark et al._2001_1,clark et al._2001_9,2,3,7_8
clark et al._2001_72,clark et al._2001,1,1,7,clark et al._2001_10,clark et al._2001_12,1,3,12_13
clark et al._2001_73,clark et al._2001,1,1,7,clark et al._2001_11,clark et al._2001_18,1,4,73_74
clark et al._2001_74,clark et al._2001,1,1,7,clark et al._2001_2,clark et al._2001_16,1,3,59_60
clark et al._2001_75,clark et al._2001,1,1,7,clark et al._2001_3,clark et al._2001_13,1,3,27_28
clark et al._2001_76,clark et al._2001,1,1,7,clark et al._2001_4,clark et al._2001_14,1,3,35_36
clark et al._2001_77,clark et al._2001,1,1,7,clark et al._2001_5,clark et al._2001_17,2,3,65_66
clark et al._2001_78,clark et al._2001,1,1,7,clark et al._2001_6,clark et al._2001_19,1,3,83_84
clark et al._2001_79,clark et al._2001,1,1,7,clark et al._2001_7,clark et al._2001_20,1,3,97_98
clark et al._2001_80,clark et al._2001,1,1,7,clark et al._2001_8,clark et al._2001_15,1,3,42_43
clark et al._2001_81,clark et al._2001,1,1,8,clark et al._2001_1,clark et al._2001_10,2,3,8_9
clark et al._2001_82,clark et al._2001,1,1,8,clark et al._2001_11,clark et al._2001_17,2,3,60_61
clark et al._2001_83,clark et al._2001,1,1,8,clark et al._2001_2,clark et al._2001_15,1,3,46_47
clark et al._2001_84,clark et al._2001,1,1,8,clark et al._2001_3,clark et al._2001_12,1,3,15_16
clark et al._2001_85,clark et al._2001,1,1,8,clark et al._2001_4,clark et al._2001_13,1,3,25_26
clark et al._2001_86,clark et al._2001,1,1,8,clark et al._2001_5,clark et al._2001_16,1,3,55_56
clark et al._2001_87,clark et al._2001,1,1,8,clark et al._2001_6,clark et al._2001_18,1,3,74_75
clark et al._2001_88,clark et al._2001,1,1,8,clark et al._2001_7,clark et al._2001_19,1,3,84_85
clark et al._2001_89,clark et al._2001,1,1,8,clark et al._2001_8,clark et al._2001_14,1,3,38_39
clark et al._2001_90,clark et al._2001,1,1,8,clark et al._2001_9,clark et al._2001_20,1,3,99_100
clark et al._2001_91,clark et al._2001,1,1,9,clark et al._2001_1,clark et al._2001_3,2,3,1_2
clark et al._2001_92,clark et al._2001,1,1,9,clark et al._2001_10,clark et al._2001_20,1,3,94_95
clark et al._2001_93,clark et al._2001,1,1,9,clark et al._2001_11,clark et al._2001_16,1,3,54_55
clark et al._2001_94,clark et al._2001,1,1,9,clark et al._2001_2,clark et al._2001_14,1,3,34_35
clark et al._2001_95,clark et al._2001,1,1,9,clark et al._2001_4,clark et al._2001_12,1,3,13_14
clark et al._2001_96,clark et al._2001,1,1,9,clark et al._2001_5,clark et al._2001_15,1,3,43_44
clark et al._2001_97,clark et al._2001,1,1,9,clark et al._2001_6,clark et al._2001_17,2,3,66_67
clark et al._2001_98,clark et al._2001,1,1,9,clark et al._2001_7,clark et al._2001_18,1,3,79_80
clark et al._2001_99,clark et al._2001,1,1,9,clark et al._2001_8,clark et al._2001_13,1,3,28_29
clark et al._2001_100,clark et al._2001,1,1,9,clark et al._2001_9,clark et al._2001_19,1,3,88_89
clark et al._2001_101,clark et al._2001,1,13,1,clark et al._2001_1,clark et al._2001_8,1,3,200_201
clark et al._2001_102,clark et al._2001,1,13,1,clark et al._2001_10,clark et al._2001_18,2,3,270_271
clark et al._2001_103,clark et al._2001,1,13,1,clark et al._2001_11,clark et al._2001_14,1,3,230_231
clark et al._2001_104,clark et al._2001,1,13,1,clark et al._2001_2,clark et al._2001_12,2,3,210_211
clark et al._2001_105,clark et al._2001,1,13,1,clark et al._2001_3,clark et al._2001_19,2,3,280_281
clark et al._2001_106,clark et al._2001,1,13,1,clark et al._2001_4,clark et al._2001_20,2,3,290_291
clark et al._2001_107,clark et al._2001,1,13,1,clark et al._2001_5,clark et al._2001_13,1,3,220_221
clark et al._2001_108,clark et al._2001,1,13,1,clark et al._2001_6,clark et al._2001_15,1,3,240_241
clark et al._2001_109,clark et al._2001,1,13,1,clark et al._2001_7,clark et al._2001_16,1,4,250_251
clark et al._2001_110,clark et al._2001,1,13,1,clark et al._2001_9,clark et al._2001_17,1,3,260_261
clark et al._2001_111,clark et al._2001,1,13,10,clark et al._2001_1,clark et al._2001_4,1,3,209_210
clark et al._2001_112,clark et al._2001,1,13,10,clark et al._2001_10,clark et al._2001_19,1,3,289_290
clark et al._2001_113,clark et al._2001,1,13,10,clark et al._2001_11,clark et al._2001_15,1,3,249_250
clark et al._2001_114,clark et al._2001,1,13,10,clark et al._2001_2,clark et al._2001_13,1,3,229_230
clark et al._2001_115,clark et al._2001,1,13,10,clark et al._2001_3,clark et al._2001_20,1,3,299_300
clark et al._2001_116,clark et al._2001,1,13,10,clark et al._2001_5,clark et al._2001_14,1,3,239_240
clark et al._2001_117,clark et al._2001,1,13,10,clark et al._2001_6,clark et al._2001_16,1,4,259_260
clark et al._2001_118,clark et al._2001,1,13,10,clark et al._2001_7,clark et al._2001_17,2,3,269_270
clark et al._2001_119,clark et al._2001,1,13,10,clark et al._2001_8,clark et al._2001_12,1,3,219_220
clark et al._2001_120,clark et al._2001,1,13,10,clark et al._2001_9,clark et al._2001_18,1,3,279_280
clark et al._2001_121,clark et al._2001,1,13,2,clark et al._2001_1,clark et al._2001_2,1,3,201_202
clark et al._2001_122,clark et al._2001,1,13,2,clark et al._2001_10,clark et al._2001_17,1,3,261_262
clark et al._2001_123,clark et al._2001,1,13,2,clark et al._2001_11,clark et al._2001_13,1,3,221_222
clark et al._2001_124,clark et al._2001,1,13,2,clark et al._2001_3,clark et al._2001_18,2,3,271_272
clark et al._2001_125,clark et al._2001,1,13,2,clark et al._2001_4,clark et al._2001_19,1,3,281_282
clark et al._2001_126,clark et al._2001,1,13,2,clark et al._2001_5,clark et al._2001_12,2,3,211_212
clark et al._2001_127,clark et al._2001,1,13,2,clark et al._2001_6,clark et al._2001_14,1,4,231_232
clark et al._2001_128,clark et al._2001,1,13,2,clark et al._2001_7,clark et al._2001_15,1,3,241_242
clark et al._2001_129,clark et al._2001,1,13,2,clark et al._2001_8,clark et al._2001_20,2,4,291_292
clark et al._2001_130,clark et al._2001,1,13,2,clark et al._2001_9,clark et al._2001_16,1,4,251_252
clark et al._2001_131,clark et al._2001,1,13,3,clark et al._2001_1,clark et al._2001_5,1,3,202_203
clark et al._2001_132,clark et al._2001,1,13,3,clark et al._2001_10,clark et al._2001_16,1,4,252_253
clark et al._2001_133,clark et al._2001,1,13,3,clark et al._2001_11,clark et al._2001_12,1,3,212_213
clark et al._2001_134,clark et al._2001,1,13,3,clark et al._2001_2,clark et al._2001_20,2,3,292_293
clark et al._2001_135,clark et al._2001,1,13,3,clark et al._2001_3,clark et al._2001_17,1,3,262_263
clark et al._2001_136,clark et al._2001,1,13,3,clark et al._2001_4,clark et al._2001_18,1,3,272_273
clark et al._2001_137,clark et al._2001,1,13,3,clark et al._2001_6,clark et al._2001_13,1,3,222_223
clark et al._2001_138,clark et al._2001,1,13,3,clark et al._2001_7,clark et al._2001_14,1,3,232_233
clark et al._2001_139,clark et al._2001,1,13,3,clark et al._2001_8,clark et al._2001_19,1,4,282_283
clark et al._2001_140,clark et al._2001,1,13,3,clark et al._2001_9,clark et al._2001_15,1,3,242_243
clark et al._2001_141,clark et al._2001,1,13,4,clark et al._2001_1,clark et al._2001_11,1,3,203_204
clark et al._2001_142,clark et al._2001,1,13,4,clark et al._2001_10,clark et al._2001_15,1,3,243_244
clark et al._2001_143,clark et al._2001,1,13,4,clark et al._2001_2,clark et al._2001_19,2,3,283_284
clark et al._2001_144,clark et al._2001,1,13,4,clark et al._2001_3,clark et al._2001_16,1,3,253_254
clark et al._2001_145,clark et al._2001,1,13,4,clark et al._2001_4,clark et al._2001_17,2,3,263_264
clark et al._2001_146,clark et al._2001,1,13,4,clark et al._2001_5,clark et al._2001_20,2,3,293_294
clark et al._2001_147,clark et al._2001,1,13,4,clark et al._2001_6,clark et al._2001_12,2,3,213_214
clark et al._2001_148,clark et al._2001,1,13,4,clark et al._2001_7,clark et al._2001_13,1,3,223_224
clark et al._2001_149,clark et al._2001,1,13,4,clark et al._2001_8,clark et al._2001_18,1,3,273_274
clark et al._2001_150,clark et al._2001,1,13,4,clark et al._2001_9,clark et al._2001_14,1,3,233_234
clark et al._2001_151,clark et al._2001,1,13,5,clark et al._2001_1,clark et al._2001_6,1,4,204_205
clark et al._2001_152,clark et al._2001,1,13,5,clark et al._2001_10,clark et al._2001_14,1,3,234_235
clark et al._2001_153,clark et al._2001,1,13,5,clark et al._2001_11,clark et al._2001_20,2,3,294_295
clark et al._2001_154,clark et al._2001,1,13,5,clark et al._2001_2,clark et al._2001_18,1,4,274_275
clark et al._2001_155,clark et al._2001,1,13,5,clark et al._2001_3,clark et al._2001_15,1,3,244_245
clark et al._2001_156,clark et al._2001,1,13,5,clark et al._2001_4,clark et al._2001_16,1,4,254_255
clark et al._2001_157,clark et al._2001,1,13,5,clark et al._2001_5,clark et al._2001_19,1,3,284_285
clark et al._2001_158,clark et al._2001,1,13,5,clark et al._2001_7,clark et al._2001_12,1,3,214_215
clark et al._2001_159,clark et al._2001,1,13,5,clark et al._2001_8,clark et al._2001_17,1,4,264_265
clark et al._2001_160,clark et al._2001,1,13,5,clark et al._2001_9,clark et al._2001_13,1,3,224_225
clark et al._2001_161,clark et al._2001,1,13,6,clark et al._2001_1,clark et al._2001_7,1,3,205_206
clark et al._2001_162,clark et al._2001,1,13,6,clark et al._2001_10,clark et al._2001_13,1,3,225_226
clark et al._2001_163,clark et al._2001,1,13,6,clark et al._2001_11,clark et al._2001_19,1,3,285_286
clark et al._2001_164,clark et al._2001,1,13,6,clark et al._2001_2,clark et al._2001_17,1,3,265_266
clark et al._2001_165,clark et al._2001,1,13,6,clark et al._2001_3,clark et al._2001_14,1,3,235_236
clark et al._2001_166,clark et al._2001,1,13,6,clark et al._2001_4,clark et al._2001_15,1,3,245_246
clark et al._2001_167,clark et al._2001,1,13,6,clark et al._2001_5,clark et al._2001_18,1,3,275_276
clark et al._2001_168,clark et al._2001,1,13,6,clark et al._2001_6,clark et al._2001_20,1,3,295_296
clark et al._2001_169,clark et al._2001,1,13,6,clark et al._2001_8,clark et al._2001_16,1,3,255_256
clark et al._2001_170,clark et al._2001,1,13,6,clark et al._2001_9,clark et al._2001_12,2,3,215_216
clark et al._2001_171,clark et al._2001,1,13,7,clark et al._2001_1,clark et al._2001_9,1,3,206_207
clark et al._2001_172,clark et al._2001,1,13,7,clark et al._2001_10,clark et al._2001_12,1,3,216_217
clark et al._2001_173,clark et al._2001,1,13,7,clark et al._2001_11,clark et al._2001_18,1,3,276_277
clark et al._2001_174,clark et al._2001,1,13,7,clark et al._2001_2,clark et al._2001_16,1,3,256_257
clark et al._2001_175,clark et al._2001,1,13,7,clark et al._2001_3,clark et al._2001_13,1,3,226_227
clark et al._2001_176,clark et al._2001,1,13,7,clark et al._2001_4,clark et al._2001_14,1,3,236_237
clark et al._2001_177,clark et al._2001,1,13,7,clark et al._2001_5,clark et al._2001_17,1,3,266_267
clark et al._2001_178,clark et al._2001,1,13,7,clark et al._2001_6,clark et al._2001_19,1,3,286_287
clark et al._2001_179,clark et al._2001,1,13,7,clark et al._2001_7,clark et al._2001_20,1,3,296_297
clark et al._2001_180,clark et al._2001,1,13,7,clark et al._2001_8,clark et al._2001_15,1,3,246_247
clark et al._2001_181,clark et al._2001,1,13,8,clark et al._2001_1,clark et al._2001_10,1,3,207_208
clark et al._2001_182,clark et al._2001,1,13,8,clark et al._2001_11,clark et al._2001_17,1,3,267_268
clark et al._2001_183,clark et al._2001,1,13,8,clark et al._2001_2,clark et al._2001_15,1,3,247_248
clark et al._2001_184,clark et al._2001,1,13,8,clark et al._2001_3,clark et al._2001_12,1,3,217_218
clark et al._2001_185,clark et al._2001,1,13,8,clark et al._2001_4,clark et al._2001_13,1,3,227_228
clark et al._2001_186,clark et al._2001,1,13,8,clark et al._2001_5,clark et al._2001_16,1,3,257_258
clark et al._2001_187,clark et al._2001,1,13,8,clark et al._2001_6,clark et al._2001_18,1,3,277_278
clark et al._2001_188,clark et al._2001,1,13,8,clark et al._2001_7,clark et al._2001_19,1,3,287_288
