match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
cooper et al._1992_1,cooper et al._1992,G3allnew,1,1,cooper et al._1992_2,cooper et al._1992_11,1.5,4.0,45_46
cooper et al._1992_2,cooper et al._1992,G3allnew,1,1,cooper et al._1992_3,cooper et al._1992_10,1.5,3.5,35_36
cooper et al._1992_3,cooper et al._1992,G3allnew,1,1,cooper et al._1992_4,cooper et al._1992_9,1.5,3.5,30_31
cooper et al._1992_4,cooper et al._1992,G3allnew,1,1,cooper et al._1992_5,cooper et al._1992_8,1.5,3.5,40_41
cooper et al._1992_5,cooper et al._1992,G3allnew,1,1,cooper et al._1992_6,cooper et al._1992_7,1.5,3.5,50_51
cooper et al._1992_6,cooper et al._1992,G3allnew,1,10,cooper et al._1992_1,cooper et al._1992_11,1.5,3.5,49_50
cooper et al._1992_7,cooper et al._1992,G3allnew,1,10,cooper et al._1992_2,cooper et al._1992_10,1.5,3.5,39_40
cooper et al._1992_8,cooper et al._1992,G3allnew,1,10,cooper et al._1992_3,cooper et al._1992_9,1.5,3.5,29_30
cooper et al._1992_9,cooper et al._1992,G3allnew,1,10,cooper et al._1992_4,cooper et al._1992_8,1.5,3.5,34_35
cooper et al._1992_10,cooper et al._1992,G3allnew,1,10,cooper et al._1992_5,cooper et al._1992_7,1.5,3.5,44_45
cooper et al._1992_11,cooper et al._1992,G3allnew,1,11,cooper et al._1992_1,cooper et al._1992_6,1.5,3.5,4_5
cooper et al._1992_12,cooper et al._1992,G3allnew,1,11,cooper et al._1992_2,cooper et al._1992_5,1.5,3.5,14_15
cooper et al._1992_13,cooper et al._1992,G3allnew,1,11,cooper et al._1992_3,cooper et al._1992_4,1.5,3.5,24_25
cooper et al._1992_14,cooper et al._1992,G3allnew,1,11,cooper et al._1992_7,cooper et al._1992_11,1.5,3.5,9_10
cooper et al._1992_15,cooper et al._1992,G3allnew,1,11,cooper et al._1992_8,cooper et al._1992_10,1.5,3.5,19_20
cooper et al._1992_16,cooper et al._1992,G3allnew,1,2,cooper et al._1992_1,cooper et al._1992_7,1.5,3.5,5_6
cooper et al._1992_17,cooper et al._1992,G3allnew,1,2,cooper et al._1992_2,cooper et al._1992_6,2.0,3.5,10_11
cooper et al._1992_18,cooper et al._1992,G3allnew,1,2,cooper et al._1992_3,cooper et al._1992_5,1.5,3.5,20_21
cooper et al._1992_19,cooper et al._1992,G3allnew,1,2,cooper et al._1992_8,cooper et al._1992_11,1.5,3.5,15_16
cooper et al._1992_20,cooper et al._1992,G3allnew,1,2,cooper et al._1992_9,cooper et al._1992_10,1.5,3.5,25_26
cooper et al._1992_21,cooper et al._1992,G3allnew,1,3,cooper et al._1992_1,cooper et al._1992_2,1.5,3.5,0_1
cooper et al._1992_22,cooper et al._1992,G3allnew,1,3,cooper et al._1992_3,cooper et al._1992_11,1.5,3.5,46_47
cooper et al._1992_23,cooper et al._1992,G3allnew,1,3,cooper et al._1992_4,cooper et al._1992_10,1.5,3.5,36_37
cooper et al._1992_24,cooper et al._1992,G3allnew,1,3,cooper et al._1992_5,cooper et al._1992_9,1.5,4.0,41_42
cooper et al._1992_25,cooper et al._1992,G3allnew,1,3,cooper et al._1992_6,cooper et al._1992_8,1.5,3.5,51_52
cooper et al._1992_26,cooper et al._1992,G3allnew,1,4,cooper et al._1992_1,cooper et al._1992_8,1.5,3.5,16_17
cooper et al._1992_27,cooper et al._1992,G3allnew,1,4,cooper et al._1992_2,cooper et al._1992_7,1.5,3.5,11_12
cooper et al._1992_28,cooper et al._1992,G3allnew,1,4,cooper et al._1992_3,cooper et al._1992_6,1.5,3.5,21_22
cooper et al._1992_29,cooper et al._1992,G3allnew,1,4,cooper et al._1992_4,cooper et al._1992_5,1.5,3.5,31_32
cooper et al._1992_30,cooper et al._1992,G3allnew,1,4,cooper et al._1992_9,cooper et al._1992_11,1.5,3.5,26_27
cooper et al._1992_31,cooper et al._1992,G3allnew,1,5,cooper et al._1992_1,cooper et al._1992_3,1.5,3.5,1_2
cooper et al._1992_32,cooper et al._1992,G3allnew,1,5,cooper et al._1992_4,cooper et al._1992_11,1.5,3.0,47_48
cooper et al._1992_33,cooper et al._1992,G3allnew,1,5,cooper et al._1992_5,cooper et al._1992_10,1.5,3.5,42_43
cooper et al._1992_34,cooper et al._1992,G3allnew,1,5,cooper et al._1992_6,cooper et al._1992_9,1.5,3.5,52_53
cooper et al._1992_35,cooper et al._1992,G3allnew,1,5,cooper et al._1992_7,cooper et al._1992_8,1.5,3.5,6_7
cooper et al._1992_36,cooper et al._1992,G3allnew,1,6,cooper et al._1992_1,cooper et al._1992_9,1.5,3.5,27_28
cooper et al._1992_37,cooper et al._1992,G3allnew,1,6,cooper et al._1992_10,cooper et al._1992_11,1.5,3.5,37_38
cooper et al._1992_38,cooper et al._1992,G3allnew,1,6,cooper et al._1992_2,cooper et al._1992_8,1.5,3.5,17_18
cooper et al._1992_39,cooper et al._1992,G3allnew,1,6,cooper et al._1992_3,cooper et al._1992_7,1.5,3.5,22_23
cooper et al._1992_40,cooper et al._1992,G3allnew,1,6,cooper et al._1992_4,cooper et al._1992_6,1.5,3.5,32_33
cooper et al._1992_41,cooper et al._1992,G3allnew,1,7,cooper et al._1992_1,cooper et al._1992_4,1.5,3.5,2_3
cooper et al._1992_42,cooper et al._1992,G3allnew,1,7,cooper et al._1992_2,cooper et al._1992_3,1.5,3.5,12_13
cooper et al._1992_43,cooper et al._1992,G3allnew,1,7,cooper et al._1992_5,cooper et al._1992_11,1.5,3.5,48_49
cooper et al._1992_44,cooper et al._1992,G3allnew,1,7,cooper et al._1992_6,cooper et al._1992_10,1.5,3.5,53_54
cooper et al._1992_45,cooper et al._1992,G3allnew,1,7,cooper et al._1992_7,cooper et al._1992_9,1.5,3.5,7_8
cooper et al._1992_46,cooper et al._1992,G3allnew,1,8,cooper et al._1992_1,cooper et al._1992_10,1.5,3.5,38_39
cooper et al._1992_47,cooper et al._1992,G3allnew,1,8,cooper et al._1992_2,cooper et al._1992_9,1.5,3.5,28_29
cooper et al._1992_48,cooper et al._1992,G3allnew,1,8,cooper et al._1992_3,cooper et al._1992_8,1.5,3.5,23_24
cooper et al._1992_49,cooper et al._1992,G3allnew,1,8,cooper et al._1992_4,cooper et al._1992_7,1.5,3.5,33_34
cooper et al._1992_50,cooper et al._1992,G3allnew,1,8,cooper et al._1992_5,cooper et al._1992_6,1.5,3.5,43_44
cooper et al._1992_51,cooper et al._1992,G3allnew,1,9,cooper et al._1992_1,cooper et al._1992_5,1.5,3.5,3_4
cooper et al._1992_52,cooper et al._1992,G3allnew,1,9,cooper et al._1992_2,cooper et al._1992_4,1.5,3.5,13_14
cooper et al._1992_53,cooper et al._1992,G3allnew,1,9,cooper et al._1992_6,cooper et al._1992_11,1.5,3.5,54_55
cooper et al._1992_54,cooper et al._1992,G3allnew,1,9,cooper et al._1992_7,cooper et al._1992_10,1.5,3.5,8_9
cooper et al._1992_55,cooper et al._1992,G3allnew,1,9,cooper et al._1992_8,cooper et al._1992_9,1.5,3.5,18_19
cooper et al._1992_56,cooper et al._1992,G3allnew,2,1,cooper et al._1992_2,cooper et al._1992_11,1.5,3.5,100_101
cooper et al._1992_57,cooper et al._1992,G3allnew,2,1,cooper et al._1992_3,cooper et al._1992_10,2.0,3.5,90_91
cooper et al._1992_58,cooper et al._1992,G3allnew,2,1,cooper et al._1992_4,cooper et al._1992_9,1.5,3.5,85_86
cooper et al._1992_59,cooper et al._1992,G3allnew,2,1,cooper et al._1992_5,cooper et al._1992_8,1.0,3.5,95_96
cooper et al._1992_60,cooper et al._1992,G3allnew,2,1,cooper et al._1992_6,cooper et al._1992_7,1.5,3.5,105_106
cooper et al._1992_61,cooper et al._1992,G3allnew,2,10,cooper et al._1992_1,cooper et al._1992_11,1.5,4.0,104_105
cooper et al._1992_62,cooper et al._1992,G3allnew,2,10,cooper et al._1992_2,cooper et al._1992_10,1.5,3.5,94_95
cooper et al._1992_63,cooper et al._1992,G3allnew,2,10,cooper et al._1992_3,cooper et al._1992_9,1.5,3.5,84_85
cooper et al._1992_64,cooper et al._1992,G3allnew,2,10,cooper et al._1992_4,cooper et al._1992_8,1.5,3.5,89_90
