match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
cooper et al._1996_1,cooper et al._1996,no comm,,1,cooper et al._1996_1,cooper et al._1996_2,1,3
cooper et al._1996_2,cooper et al._1996,no comm,,1,cooper et al._1996_11,cooper et al._1996_12,1,3
cooper et al._1996_3,cooper et al._1996,no comm,,1,cooper et al._1996_13,cooper et al._1996_14,2,3
cooper et al._1996_4,cooper et al._1996,no comm,,1,cooper et al._1996_15,cooper et al._1996_16,1,3
cooper et al._1996_5,cooper et al._1996,no comm,,1,cooper et al._1996_17,cooper et al._1996_18,2,3
cooper et al._1996_6,cooper et al._1996,no comm,,1,cooper et al._1996_19,cooper et al._1996_20,2,3
cooper et al._1996_7,cooper et al._1996,no comm,,1,cooper et al._1996_21,cooper et al._1996_22,2,4
cooper et al._1996_8,cooper et al._1996,no comm,,1,cooper et al._1996_23,cooper et al._1996_24,2,4
cooper et al._1996_9,cooper et al._1996,no comm,,1,cooper et al._1996_25,cooper et al._1996_26,2,3
cooper et al._1996_10,cooper et al._1996,no comm,,1,cooper et al._1996_27,cooper et al._1996_28,1,3
cooper et al._1996_11,cooper et al._1996,no comm,,1,cooper et al._1996_29,cooper et al._1996_30,1,4
cooper et al._1996_12,cooper et al._1996,no comm,,1,cooper et al._1996_3,cooper et al._1996_4,2,4
cooper et al._1996_13,cooper et al._1996,no comm,,1,cooper et al._1996_31,cooper et al._1996_32,1,3
cooper et al._1996_14,cooper et al._1996,no comm,,1,cooper et al._1996_33,cooper et al._1996_34,2,3
cooper et al._1996_15,cooper et al._1996,no comm,,1,cooper et al._1996_35,cooper et al._1996_36,2,3
cooper et al._1996_16,cooper et al._1996,no comm,,1,cooper et al._1996_37,cooper et al._1996_38,1,4
cooper et al._1996_17,cooper et al._1996,no comm,,1,cooper et al._1996_39,cooper et al._1996_40,1,3
cooper et al._1996_18,cooper et al._1996,no comm,,1,cooper et al._1996_5,cooper et al._1996_6,1,4
cooper et al._1996_19,cooper et al._1996,no comm,,1,cooper et al._1996_7,cooper et al._1996_8,1,4
cooper et al._1996_20,cooper et al._1996,no comm,,1,cooper et al._1996_9,cooper et al._1996_10,1,3
cooper et al._1996_21,cooper et al._1996,no comm,,10,cooper et al._1996_1,cooper et al._1996_20,1,3
cooper et al._1996_22,cooper et al._1996,no comm,,10,cooper et al._1996_10,cooper et al._1996_31,1,3
cooper et al._1996_23,cooper et al._1996,no comm,,10,cooper et al._1996_11,cooper et al._1996_30,2,3
cooper et al._1996_24,cooper et al._1996,no comm,,10,cooper et al._1996_12,cooper et al._1996_33,1,3
cooper et al._1996_25,cooper et al._1996,no comm,,10,cooper et al._1996_13,cooper et al._1996_32,1,3
cooper et al._1996_26,cooper et al._1996,no comm,,10,cooper et al._1996_14,cooper et al._1996_35,1,4
cooper et al._1996_27,cooper et al._1996,no comm,,10,cooper et al._1996_15,cooper et al._1996_34,1,3
cooper et al._1996_28,cooper et al._1996,no comm,,10,cooper et al._1996_16,cooper et al._1996_37,1,4
cooper et al._1996_29,cooper et al._1996,no comm,,10,cooper et al._1996_17,cooper et al._1996_36,1,4
cooper et al._1996_30,cooper et al._1996,no comm,,10,cooper et al._1996_18,cooper et al._1996_39,1,3
cooper et al._1996_31,cooper et al._1996,no comm,,10,cooper et al._1996_19,cooper et al._1996_38,2,3
cooper et al._1996_32,cooper et al._1996,no comm,,10,cooper et al._1996_2,cooper et al._1996_23,2,3
cooper et al._1996_33,cooper et al._1996,no comm,,10,cooper et al._1996_21,cooper et al._1996_40,2,4
cooper et al._1996_34,cooper et al._1996,no comm,,10,cooper et al._1996_3,cooper et al._1996_22,1,4
cooper et al._1996_35,cooper et al._1996,no comm,,10,cooper et al._1996_4,cooper et al._1996_25,1,4
cooper et al._1996_36,cooper et al._1996,no comm,,10,cooper et al._1996_5,cooper et al._1996_24,1,3
cooper et al._1996_37,cooper et al._1996,no comm,,10,cooper et al._1996_6,cooper et al._1996_27,2,3
cooper et al._1996_38,cooper et al._1996,no comm,,10,cooper et al._1996_7,cooper et al._1996_26,2,3
cooper et al._1996_39,cooper et al._1996,no comm,,10,cooper et al._1996_8,cooper et al._1996_29,2,3
cooper et al._1996_40,cooper et al._1996,no comm,,10,cooper et al._1996_9,cooper et al._1996_28,1,3
cooper et al._1996_41,cooper et al._1996,no comm,,11,cooper et al._1996_1,cooper et al._1996_22,1,3
cooper et al._1996_42,cooper et al._1996,no comm,,11,cooper et al._1996_10,cooper et al._1996_29,1,4
cooper et al._1996_43,cooper et al._1996,no comm,,11,cooper et al._1996_11,cooper et al._1996_32,1,3
cooper et al._1996_44,cooper et al._1996,no comm,,11,cooper et al._1996_12,cooper et al._1996_31,1,3
cooper et al._1996_45,cooper et al._1996,no comm,,11,cooper et al._1996_13,cooper et al._1996_34,1,3
cooper et al._1996_46,cooper et al._1996,no comm,,11,cooper et al._1996_14,cooper et al._1996_33,1,3
cooper et al._1996_47,cooper et al._1996,no comm,,11,cooper et al._1996_15,cooper et al._1996_36,2,4
cooper et al._1996_48,cooper et al._1996,no comm,,11,cooper et al._1996_16,cooper et al._1996_35,1,4
cooper et al._1996_49,cooper et al._1996,no comm,,11,cooper et al._1996_17,cooper et al._1996_38,1,4
cooper et al._1996_50,cooper et al._1996,no comm,,11,cooper et al._1996_18,cooper et al._1996_37,1,3
cooper et al._1996_51,cooper et al._1996,no comm,,11,cooper et al._1996_19,cooper et al._1996_40,1,4
cooper et al._1996_52,cooper et al._1996,no comm,,11,cooper et al._1996_2,cooper et al._1996_21,2,4
cooper et al._1996_53,cooper et al._1996,no comm,,11,cooper et al._1996_20,cooper et al._1996_39,1,3
cooper et al._1996_54,cooper et al._1996,no comm,,11,cooper et al._1996_3,cooper et al._1996_24,1,3
cooper et al._1996_55,cooper et al._1996,no comm,,11,cooper et al._1996_4,cooper et al._1996_23,2,3
cooper et al._1996_56,cooper et al._1996,no comm,,11,cooper et al._1996_5,cooper et al._1996_26,1,3
cooper et al._1996_57,cooper et al._1996,no comm,,11,cooper et al._1996_6,cooper et al._1996_25,1,4
cooper et al._1996_58,cooper et al._1996,no comm,,11,cooper et al._1996_7,cooper et al._1996_28,2,3
cooper et al._1996_59,cooper et al._1996,no comm,,11,cooper et al._1996_8,cooper et al._1996_27,1,3
cooper et al._1996_60,cooper et al._1996,no comm,,11,cooper et al._1996_9,cooper et al._1996_30,1,4
cooper et al._1996_61,cooper et al._1996,no comm,,12,cooper et al._1996_1,cooper et al._1996_24,1,3
cooper et al._1996_62,cooper et al._1996,no comm,,12,cooper et al._1996_10,cooper et al._1996_27,2,3
cooper et al._1996_63,cooper et al._1996,no comm,,12,cooper et al._1996_11,cooper et al._1996_34,2,3
cooper et al._1996_64,cooper et al._1996,no comm,,12,cooper et al._1996_12,cooper et al._1996_29,1,3
cooper et al._1996_65,cooper et al._1996,no comm,,12,cooper et al._1996_13,cooper et al._1996_36,1,3
cooper et al._1996_66,cooper et al._1996,no comm,,12,cooper et al._1996_14,cooper et al._1996_31,1,4
cooper et al._1996_67,cooper et al._1996,no comm,,12,cooper et al._1996_15,cooper et al._1996_38,2,3
cooper et al._1996_68,cooper et al._1996,no comm,,12,cooper et al._1996_16,cooper et al._1996_33,1,4
cooper et al._1996_69,cooper et al._1996,no comm,,12,cooper et al._1996_17,cooper et al._1996_40,2,3
cooper et al._1996_70,cooper et al._1996,no comm,,12,cooper et al._1996_18,cooper et al._1996_35,2,4
cooper et al._1996_71,cooper et al._1996,no comm,,12,cooper et al._1996_2,cooper et al._1996_19,2,3
cooper et al._1996_72,cooper et al._1996,no comm,,12,cooper et al._1996_20,cooper et al._1996_37,1,4
cooper et al._1996_73,cooper et al._1996,no comm,,12,cooper et al._1996_22,cooper et al._1996_39,1,3
cooper et al._1996_74,cooper et al._1996,no comm,,12,cooper et al._1996_3,cooper et al._1996_26,1,4
cooper et al._1996_75,cooper et al._1996,no comm,,12,cooper et al._1996_4,cooper et al._1996_21,1,4
cooper et al._1996_76,cooper et al._1996,no comm,,12,cooper et al._1996_5,cooper et al._1996_28,1,3
cooper et al._1996_77,cooper et al._1996,no comm,,12,cooper et al._1996_6,cooper et al._1996_23,2,3
cooper et al._1996_78,cooper et al._1996,no comm,,12,cooper et al._1996_7,cooper et al._1996_30,2,3
cooper et al._1996_79,cooper et al._1996,no comm,,12,cooper et al._1996_8,cooper et al._1996_25,1,3
cooper et al._1996_80,cooper et al._1996,no comm,,12,cooper et al._1996_9,cooper et al._1996_32,1,3
