experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_1,player_1,2.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,1.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_10,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,2.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_11,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,2.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_12,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,2.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_13,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,3.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_14,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,3.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_15,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,4.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_16,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,4.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_17,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,3.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_18,player_2,,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_2,player_1,4.0,N/A,N/A,N/A,N/A,N/A,0
costa-gomes-2001,Baseline,1,2A,N/A,N/A,N/A,costa-gomes-2001_19,player_2,,N/A,N/A,N/A,N/A,N/A,0
