match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
costa-gomes-2001_1,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_1,costa-gomes-2001_2,2.0,
costa-gomes-2001_2,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_10,1.0,
costa-gomes-2001_3,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_11,2.0,
costa-gomes-2001_4,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_12,2.0,
costa-gomes-2001_5,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_13,2.0,
costa-gomes-2001_6,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_14,3.0,
costa-gomes-2001_7,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_15,3.0,
costa-gomes-2001_8,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_16,4.0,
costa-gomes-2001_9,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_17,4.0,
costa-gomes-2001_10,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_18,3.0,
costa-gomes-2001_11,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_19,4.0,
costa-gomes-2001_12,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_20,3.0,
costa-gomes-2001_13,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_21,4.0,
costa-gomes-2001_14,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_22,4.0,
costa-gomes-2001_15,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_23,3.0,
costa-gomes-2001_16,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_24,3.0,
costa-gomes-2001_17,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_25,4.0,
costa-gomes-2001_18,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_3,2.0,
costa-gomes-2001_19,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_4,2.0,
costa-gomes-2001_20,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_5,1.0,
costa-gomes-2001_21,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_6,2.0,
costa-gomes-2001_22,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_7,1.0,
costa-gomes-2001_23,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_8,2.0,
costa-gomes-2001_24,costa-gomes-2001,Baseline,1,2A,costa-gomes-2001_2,costa-gomes-2001_9,2.0,
costa-gomes-2001_25,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_1,costa-gomes-2001_2,1.0,
costa-gomes-2001_26,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_10,2.0,
costa-gomes-2001_27,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_11,1.0,
costa-gomes-2001_28,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_12,1.0,
costa-gomes-2001_29,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_13,1.0,
costa-gomes-2001_30,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_14,3.0,
costa-gomes-2001_31,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_15,4.0,
costa-gomes-2001_32,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_16,4.0,
costa-gomes-2001_33,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_17,4.0,
costa-gomes-2001_34,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_18,4.0,
costa-gomes-2001_35,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_19,4.0,
costa-gomes-2001_36,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_20,4.0,
costa-gomes-2001_37,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_21,4.0,
costa-gomes-2001_38,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_22,4.0,
costa-gomes-2001_39,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_23,3.0,
costa-gomes-2001_40,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_24,3.0,
costa-gomes-2001_41,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_25,3.0,
costa-gomes-2001_42,costa-gomes-2001,Baseline,1,2B,costa-gomes-2001_2,costa-gomes-2001_3,1.0,
