match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
croson_1999_1,croson_1999,Guess,1,Iterated Dominance I,croson_1999_1,croson_1999_2,1,,80_81
croson_1999_2,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_10,1,,88_89
croson_1999_3,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_11,2,,89_90
croson_1999_4,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_12,4,,100_101
croson_1999_5,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_13,4,,101_102
croson_1999_6,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_14,4,,102_103
croson_1999_7,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_15,4,,103_104
croson_1999_8,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_16,4,,104_105
croson_1999_9,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_17,3,,105_106
croson_1999_10,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_18,4,,106_107
croson_1999_11,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_19,4,,107_108
croson_1999_12,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_20,3,,108_109
croson_1999_13,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_21,4,,109_110
croson_1999_14,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_3,1,,81_82
croson_1999_15,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_4,2,,82_83
croson_1999_16,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_5,1,,83_84
croson_1999_17,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_6,2,,84_85
croson_1999_18,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_7,1,,85_86
croson_1999_19,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_8,1,,86_87
croson_1999_20,croson_1999,Guess,1,Iterated Dominance I,croson_1999_2,croson_1999_9,1,,87_88
croson_1999_21,croson_1999,Guess,1,Iterated dominance 2,croson_1999_1,croson_1999_2,2,,120_121
croson_1999_22,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_10,2,,128_129
croson_1999_23,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_11,1,,129_130
croson_1999_24,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_12,4,,140_141
croson_1999_25,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_13,3,,141_142
croson_1999_26,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_14,4,,142_143
croson_1999_27,croson_1999,Guess,1,Iterated dominance 2,croson_1999_2,croson_1999_15,3,,143_144
