experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_10,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_11,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_12,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_13,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_14,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_15,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_16,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_17,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_18,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
dalbo,N/A,1,1,N/A,N/A,N/A,dalbo_19,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
