match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
duffy_feltovich_2002_1,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_1,duffy_feltovich_2002_2,4,1
duffy_feltovich_2002_2,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_11,duffy_feltovich_2002_12,4,2
duffy_feltovich_2002_3,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_13,duffy_feltovich_2002_14,2,3
duffy_feltovich_2002_4,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_15,duffy_feltovich_2002_16,1,4
duffy_feltovich_2002_5,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_17,duffy_feltovich_2002_18,4,1
duffy_feltovich_2002_6,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_19,duffy_feltovich_2002_20,2,4
duffy_feltovich_2002_7,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_3,duffy_feltovich_2002_4,4,2
duffy_feltovich_2002_8,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_5,duffy_feltovich_2002_6,4,1
duffy_feltovich_2002_9,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_7,duffy_feltovich_2002_8,2,3
duffy_feltovich_2002_10,duffy_feltovich_2002,1,1,1,duffy_feltovich_2002_9,duffy_feltovich_2002_10,2,3
duffy_feltovich_2002_11,duffy_feltovich_2002,1,1,10,duffy_feltovich_2002_1,duffy_feltovich_2002_13,4,2
duffy_feltovich_2002_12,duffy_feltovich_2002,1,1,10,duffy_feltovich_2002_12,duffy_feltovich_2002_14,2,4
duffy_feltovich_2002_13,duffy_feltovich_2002,1,1,10,duffy_feltovich_2002_17,duffy_feltovich_2002_19,4,2
duffy_feltovich_2002_14,duffy_feltovich_2002,1,1,10,duffy_feltovich_2002_2,duffy_feltovich_2002_10,4,2
duffy_feltovich_2002_15,duffy_feltovich_2002,1,1,10,duffy_feltovich_2002_3,duffy_feltovich_2002_6,4,2
