experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_10,player_2,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_11,player_1,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_19,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_12,player_1,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_15,player_2,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_14,player_1,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_18,player_2,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_16,player_2,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_3,player_1,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_9,player_2,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_4,player_1,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_20,player_2,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_5,player_1,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_17,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_6,player_1,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_8,player_2,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_7,player_1,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,10,1,N/A,N/A,N/A,duffy_feltovich_2006_13,player_2,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_1,player_1,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_13,player_2,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_10,player_1,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_14,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_11,player_1,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_18,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_12,player_1,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_15,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_20,player_2,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_3,player_1,2,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_16,player_2,3,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_4,player_1,1,N/A,N/A,N/A,N/A,N/A,0
duffy_feltovich_2006,1,13,1,N/A,N/A,N/A,duffy_feltovich_2006_17,player_2,4,N/A,N/A,N/A,N/A,N/A,0
