match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
feltovich et al._ 2012_1,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_53,feltovich et al._ 2012_54,1,3,2080_2081
feltovich et al._ 2012_2,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_55,feltovich et al._ 2012_68,2,4,2280_2281
feltovich et al._ 2012_3,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_56,feltovich et al._ 2012_72,1,4,2440_2441
feltovich et al._ 2012_4,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_57,feltovich et al._ 2012_70,2,3,2360_2361
feltovich et al._ 2012_5,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_58,feltovich et al._ 2012_64,1,3,2120_2121
feltovich et al._ 2012_6,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_59,feltovich et al._ 2012_71,2,3,2400_2401
feltovich et al._ 2012_7,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_60,feltovich et al._ 2012_67,1,4,2240_2241
feltovich et al._ 2012_8,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_61,feltovich et al._ 2012_65,2,3,2160_2161
feltovich et al._ 2012_9,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_62,feltovich et al._ 2012_69,1,4,2320_2321
feltovich et al._ 2012_10,feltovich et al._ 2012,1,12,1,feltovich et al._ 2012_63,feltovich et al._ 2012_66,2,4,2200_2201
feltovich et al._ 2012_11,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_53,feltovich et al._ 2012_59,2,3,2089_2090
feltovich et al._ 2012_12,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_54,feltovich et al._ 2012_66,2,3,2209_2210
feltovich et al._ 2012_13,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_55,feltovich et al._ 2012_67,2,4,2249_2250
feltovich et al._ 2012_14,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_56,feltovich et al._ 2012_71,2,4,2409_2410
feltovich et al._ 2012_15,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_57,feltovich et al._ 2012_72,2,4,2449_2450
feltovich et al._ 2012_16,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_58,feltovich et al._ 2012_69,2,4,2329_2330
feltovich et al._ 2012_17,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_60,feltovich et al._ 2012_68,2,4,2289_2290
feltovich et al._ 2012_18,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_61,feltovich et al._ 2012_65,1,4,2169_2170
feltovich et al._ 2012_19,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_62,feltovich et al._ 2012_70,2,4,2369_2370
feltovich et al._ 2012_20,feltovich et al._ 2012,1,12,10,feltovich et al._ 2012_63,feltovich et al._ 2012_64,1,3,2129_2130
feltovich et al._ 2012_21,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_53,feltovich et al._ 2012_54,2,3,2090_2091
feltovich et al._ 2012_22,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_55,feltovich et al._ 2012_72,1,4,2450_2451
feltovich et al._ 2012_23,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_56,feltovich et al._ 2012_66,1,4,2210_2211
feltovich et al._ 2012_24,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_57,feltovich et al._ 2012_69,1,3,2330_2331
feltovich et al._ 2012_25,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_58,feltovich et al._ 2012_64,2,3,2130_2131
feltovich et al._ 2012_26,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_59,feltovich et al._ 2012_65,1,4,2170_2171
feltovich et al._ 2012_27,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_60,feltovich et al._ 2012_71,2,4,2410_2411
feltovich et al._ 2012_28,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_61,feltovich et al._ 2012_67,2,3,2250_2251
feltovich et al._ 2012_29,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_62,feltovich et al._ 2012_68,2,4,2290_2291
feltovich et al._ 2012_30,feltovich et al._ 2012,1,12,11,feltovich et al._ 2012_63,feltovich et al._ 2012_70,2,3,2370_2371
feltovich et al._ 2012_31,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_53,feltovich et al._ 2012_60,2,4,2091_2092
feltovich et al._ 2012_32,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_54,feltovich et al._ 2012_67,1,4,2251_2252
feltovich et al._ 2012_33,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_55,feltovich et al._ 2012_69,2,3,2331_2332
feltovich et al._ 2012_34,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_56,feltovich et al._ 2012_68,1,4,2291_2292
feltovich et al._ 2012_35,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_57,feltovich et al._ 2012_64,2,3,2131_2132
feltovich et al._ 2012_36,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_58,feltovich et al._ 2012_72,1,3,2451_2452
feltovich et al._ 2012_37,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_59,feltovich et al._ 2012_65,1,3,2171_2172
feltovich et al._ 2012_38,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_61,feltovich et al._ 2012_66,2,4,2211_2212
feltovich et al._ 2012_39,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_62,feltovich et al._ 2012_70,2,4,2371_2372
feltovich et al._ 2012_40,feltovich et al._ 2012,1,12,12,feltovich et al._ 2012_63,feltovich et al._ 2012_71,2,4,2411_2412
feltovich et al._ 2012_41,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_53,feltovich et al._ 2012_59,2,4,2092_2093
feltovich et al._ 2012_42,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_54,feltovich et al._ 2012_71,2,3,2412_2413
feltovich et al._ 2012_43,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_55,feltovich et al._ 2012_65,1,4,2172_2173
feltovich et al._ 2012_44,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_56,feltovich et al._ 2012_69,1,4,2332_2333
feltovich et al._ 2012_45,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_57,feltovich et al._ 2012_72,1,4,2452_2453
feltovich et al._ 2012_46,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_58,feltovich et al._ 2012_64,2,4,2132_2133
feltovich et al._ 2012_47,feltovich et al._ 2012,1,12,13,feltovich et al._ 2012_60,feltovich et al._ 2012_67,2,4,2252_2253
