experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
nag,N/A,1,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,1,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,10,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,10,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,2,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,2,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,3,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,3,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,4,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,4,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,5,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,5,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,6,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,6,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,7,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,7,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,8,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,8,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,9,N/A,N/A,N/A,N/A,nag_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nag,N/A,9,N/A,N/A,N/A,N/A,nag_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
