experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
nikiforakis_normann_data_2008_expe,0,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_1,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,0,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_1,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,1,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_2,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,1,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_2,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,2,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_3,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,2,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_3,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,3,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_4,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,3,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_4,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,4,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_5,player_1,N/A,N/A,N/A,N/A,N/A,N/A,0
nikiforakis_normann_data_2008_expe,4,N/A,N/A,N/A,N/A,N/A,nikiforakis_normann_data_2008_expe_5,player_2,N/A,N/A,N/A,N/A,N/A,N/A,0
