match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice,from
rankin et al._2000_1,rankin et al._2000,0,1,10,rankin et al._2000_17,rankin et al._2000_22,1,4,432_433
rankin et al._2000_2,rankin et al._2000,0,1,10,rankin et al._2000_18,rankin et al._2000_19,1,3,433_434
rankin et al._2000_3,rankin et al._2000,0,1,10,rankin et al._2000_20,rankin et al._2000_23,1,3,437_438
rankin et al._2000_4,rankin et al._2000,0,1,10,rankin et al._2000_21,rankin et al._2000_24,1,3,434_435
rankin et al._2000_5,rankin et al._2000,0,1,12,rankin et al._2000_17,rankin et al._2000_20,1,3,528_529
rankin et al._2000_6,rankin et al._2000,0,1,12,rankin et al._2000_18,rankin et al._2000_24,1,3,531_532
rankin et al._2000_7,rankin et al._2000,0,1,12,rankin et al._2000_19,rankin et al._2000_23,1,3,529_530
rankin et al._2000_8,rankin et al._2000,0,1,12,rankin et al._2000_21,rankin et al._2000_22,1,3,530_531
rankin et al._2000_9,rankin et al._2000,0,1,14,rankin et al._2000_17,rankin et al._2000_18,1,3,624_625
rankin et al._2000_10,rankin et al._2000,0,1,14,rankin et al._2000_19,rankin et al._2000_21,1,3,625_626
rankin et al._2000_11,rankin et al._2000,0,1,14,rankin et al._2000_20,rankin et al._2000_24,2,3,630_631
rankin et al._2000_12,rankin et al._2000,0,1,14,rankin et al._2000_22,rankin et al._2000_23,1,3,628_629
rankin et al._2000_13,rankin et al._2000,0,1,15,rankin et al._2000_17,rankin et al._2000_24,1,4,672_673
rankin et al._2000_14,rankin et al._2000,0,1,15,rankin et al._2000_18,rankin et al._2000_19,1,3,673_674
rankin et al._2000_15,rankin et al._2000,0,1,15,rankin et al._2000_20,rankin et al._2000_21,1,3,674_675
rankin et al._2000_16,rankin et al._2000,0,1,15,rankin et al._2000_22,rankin et al._2000_23,1,3,676_677
rankin et al._2000_17,rankin et al._2000,0,1,16,rankin et al._2000_17,rankin et al._2000_24,1,4,720_721
rankin et al._2000_18,rankin et al._2000,0,1,16,rankin et al._2000_18,rankin et al._2000_23,1,3,723_724
rankin et al._2000_19,rankin et al._2000,0,1,16,rankin et al._2000_19,rankin et al._2000_22,1,3,721_722
rankin et al._2000_20,rankin et al._2000,0,1,16,rankin et al._2000_20,rankin et al._2000_21,1,3,722_723
rankin et al._2000_21,rankin et al._2000,0,1,19,rankin et al._2000_17,rankin et al._2000_23,1,3,864_865
rankin et al._2000_22,rankin et al._2000,0,1,19,rankin et al._2000_18,rankin et al._2000_20,1,3,867_868
rankin et al._2000_23,rankin et al._2000,0,1,19,rankin et al._2000_19,rankin et al._2000_21,1,3,865_866
rankin et al._2000_24,rankin et al._2000,0,1,19,rankin et al._2000_22,rankin et al._2000_24,1,3,868_869
rankin et al._2000_25,rankin et al._2000,0,1,2,rankin et al._2000_17,rankin et al._2000_18,1,4,48_49
rankin et al._2000_26,rankin et al._2000,0,1,2,rankin et al._2000_19,rankin et al._2000_20,1,4,49_50
rankin et al._2000_27,rankin et al._2000,0,1,2,rankin et al._2000_21,rankin et al._2000_22,1,4,50_51
rankin et al._2000_28,rankin et al._2000,0,1,2,rankin et al._2000_23,rankin et al._2000_24,1,4,53_54
rankin et al._2000_29,rankin et al._2000,0,1,24,rankin et al._2000_17,rankin et al._2000_21,1,3,1104_1105
rankin et al._2000_30,rankin et al._2000,0,1,24,rankin et al._2000_18,rankin et al._2000_20,1,3,1107_1108
rankin et al._2000_31,rankin et al._2000,0,1,24,rankin et al._2000_19,rankin et al._2000_22,1,4,1105_1106
rankin et al._2000_32,rankin et al._2000,0,1,24,rankin et al._2000_23,rankin et al._2000_24,1,3,1109_1110
rankin et al._2000_33,rankin et al._2000,0,1,26,rankin et al._2000_17,rankin et al._2000_19,1,3,1200_1201
rankin et al._2000_34,rankin et al._2000,0,1,26,rankin et al._2000_18,rankin et al._2000_20,1,3,1203_1204
rankin et al._2000_35,rankin et al._2000,0,1,26,rankin et al._2000_21,rankin et al._2000_22,1,3,1202_1203
