experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_133,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_134,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_135,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_136,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_137,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_138,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_139,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_140,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_141,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_142,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_143,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_144,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_145,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_146,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_147,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_148,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_149,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_150,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_151,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_152,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_153,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_154,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_155,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_156,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_157,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_158,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_159,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_160,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_161,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_162,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_163,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_164,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_165,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_166,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_167,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_168,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,original,player_1,schmidt et al._2013_169,N/A,N/A,N/A,N/A,N/A,0
schmidt et al._2013,One Shot Protocol, original, Game CO1,N/A,N/A,N/A,1,player_2,schmidt et al._2013_170,N/A,N/A,N/A,N/A,N/A,0
