match_id,dataset_id,treatment,session,round,player_1_id,player_2_id,player_1_choice,player_2_choice
schmidt et al._2013_1,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_133,schmidt et al._2013_134,2,4
schmidt et al._2013_2,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_135,schmidt et al._2013_136,2,4
schmidt et al._2013_3,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_137,schmidt et al._2013_138,1,4
schmidt et al._2013_4,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_139,schmidt et al._2013_140,2,3
schmidt et al._2013_5,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_141,schmidt et al._2013_142,2,4
schmidt et al._2013_6,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_143,schmidt et al._2013_144,2,3
schmidt et al._2013_7,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_145,schmidt et al._2013_146,2,3
schmidt et al._2013_8,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_147,schmidt et al._2013_148,1,4
schmidt et al._2013_9,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_149,schmidt et al._2013_150,1,4
schmidt et al._2013_10,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_151,schmidt et al._2013_152,2,4
schmidt et al._2013_11,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_153,schmidt et al._2013_154,2,4
schmidt et al._2013_12,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_155,schmidt et al._2013_156,2,4
schmidt et al._2013_13,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_157,schmidt et al._2013_158,2,3
schmidt et al._2013_14,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_159,schmidt et al._2013_160,1,4
schmidt et al._2013_15,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_161,schmidt et al._2013_162,2,4
schmidt et al._2013_16,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_163,schmidt et al._2013_164,1,4
schmidt et al._2013_17,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_165,schmidt et al._2013_166,1,4
schmidt et al._2013_18,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_167,schmidt et al._2013_168,2,3
schmidt et al._2013_19,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_169,schmidt et al._2013_170,2,3
schmidt et al._2013_20,schmidt et al._2013,One Shot Protocol, original, Game CO1,original,1,schmidt et al._2013_171,schmidt et al._2013_172,2,4
schmidt et al._2013_21,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_173,schmidt et al._2013_174,2,4
schmidt et al._2013_22,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_175,schmidt et al._2013_176,2,3
schmidt et al._2013_23,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_177,schmidt et al._2013_178,1,3
schmidt et al._2013_24,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_179,schmidt et al._2013_180,1,4
schmidt et al._2013_25,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_181,schmidt et al._2013_182,2,3
schmidt et al._2013_26,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_183,schmidt et al._2013_184,2,3
schmidt et al._2013_27,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_185,schmidt et al._2013_186,1,4
schmidt et al._2013_28,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_187,schmidt et al._2013_188,1,4
schmidt et al._2013_29,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_189,schmidt et al._2013_190,1,4
schmidt et al._2013_30,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_191,schmidt et al._2013_192,2,4
schmidt et al._2013_31,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_193,schmidt et al._2013_194,2,4
schmidt et al._2013_32,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_195,schmidt et al._2013_196,2,4
schmidt et al._2013_33,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_197,schmidt et al._2013_198,1,4
schmidt et al._2013_34,schmidt et al._2013,One Shot Protocol, original, Game CO2,original,1,schmidt et al._2013_199,schmidt et al._2013_200,1,3
