experiment,treatment,session,match_period,match_group,supergame_period,supergame_ending,player,role,a1,a2,a3,a4,a5,a6,observation
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_1,player_1,4,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_10,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_11,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_3,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_4,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_5,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_6,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_7,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_8,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,1,N/A,N/A,N/A,straub_1999_9,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_1,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_10,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,2,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_11,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_3,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_4,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_5,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,1,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_6,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_7,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_8,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_2,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,2,N/A,N/A,N/A,straub_1999_9,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,3,N/A,N/A,N/A,straub_1999_1,player_1,3,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,3,N/A,N/A,N/A,straub_1999_2,player_2,,N/A,N/A,N/A,N/A,N/A,0
straub_1999,1,1,3,N/A,N/A,N/A,straub_1999_2,player_1,4,N/A,N/A,N/A,N/A,N/A,0
